candidate_id,model_suggestion,suggested_intent_id,suggested_intent_name,primary_goal,routing_expectation,escalation_reason,response_requirements,ambiguity,ood,taxonomy_verdict,taxonomy_notes,entities,needs_second_opinion,confidence,decision_summary,why,alternatives,human_check,generated_at,status
GC-011,delivery_tracking,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),"DRAFT (verify): Package / parcel whereabouts (tracking says X but status unclear) — customer wrote: '@AmazonHelp My package just got here. All good, thank you!'",escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from delivery_tracking; margin=0.185, sim=0.803. Human must confirm/correct. Cluster=delivery_tracking. ",0,no,HIGH,Model-draft suggests delivery_tracking; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp My package just got here. All good, thank you!'. Model suggestion delivery_tracking (sim=0.803, margin=0.185) is NOT ground truth. Cluster family=delivery_tracking sampling=common_confident. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","ack_thanks (sim=0.617, Conversation closure: thank you / acknowledgement); delivery_urgency (sim=0.606, Urgent need for delivery today / as a gift); resolution_thanks (sim=0.535, Issue now resolved / sorted - acknowledgment)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent delivery_tracking; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.578494+00:00,model_recommendation
GC-012,megacluster_unclear,megacluster_unclear,Large mixed cluster - not one coherent intent (needs sub-splitting),"DRAFT (verify): Large mixed cluster - not one coherent intent (needs sub-splitting) — customer wrote: '@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.'",unsure,,Insufficient context for safe auto-response; human must review priors before acting.,true,false,ambiguous,"Model-draft from megacluster_unclear; margin=0.054, sim=0.637. Human must confirm/correct. Cluster=megacluster_unclear. ",0,yes,LOW,Model-draft suggests megacluster_unclear; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.'. Model suggestion megacluster_unclear (sim=0.637, margin=0.054) is NOT ground truth. Cluster family=megacluster_unclear sampling=common_confident. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","seller_issue (sim=0.583, Third-party seller fulfilment / feedback / communication issues); fraud_accusation (sim=0.504, Accusation of fraud / scam / cheating); false_advertising (sim=0.49, Claims of false / misleading advertising)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent megacluster_unclear; confirm routing unsure; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.578794+00:00,model_recommendation
GC-013,complaint_service_quality,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp Be a man of your words and come up with a solution by today. And also I am expecting call from ur management? Is it possible..just disclose it in pu',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from complaint_service_quality; margin=0.077, sim=0.596. Human must confirm/correct. Cluster=complaint_service_quality. ",0,no,HIGH,Model-draft suggests complaint_service_quality; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Be a man of your words and come up with a solution by today. And also I am expecting call from ur management? Is it possible..just disclose it in pu'. Model suggestion complaint_service_quality (sim=0.596, margin=0.077) is NOT ground truth. Cluster family=complaint_service_quality sampling=safety_sensitive. Priors considered (2): '@AmazonHelp Just did it...I want a commitment of my product or money rite now..be a man and do the rite thing by today, '. Historical reply treated as evidence only, not the answer.","resolution_thanks (sim=0.519, Issue now resolved / sorted - acknowledgment); agent_escalation (sim=0.518, Escalation to supervisor / manager / senior team); resolution_pending (sim=0.491, Awaiting resolution outcome / case progress (investigation, complaint, case))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent complaint_service_quality; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.579103+00:00,model_recommendation
GC-014,detail_provided,detail_provided,Already provided the requested details (DM / form / email / screenshots),DRAFT (verify): Already provided the requested details (DM / form / email / screenshots) — customer wrote: '@AmazonHelp 9990776470 __email__',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from detail_provided; margin=0.054, sim=0.822. Human must confirm/correct. Cluster=noise. ",0,yes,MEDIUM,Model-draft suggests detail_provided; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp 9990776470 __email__'. Model suggestion detail_provided (sim=0.822, margin=0.054) is NOT ground truth. Cluster family=noise sampling=short_message. Priors considered (1): '@AmazonHelp Please take action again delivery boy this is my first time with amazone feeling such like of experience and'. Historical reply treated as evidence only, not the answer.","off_topic_chat (sim=0.768, Social / @-mention chatter (ambiguous, multilingual)); contact_callback_request (sim=0.756, Asking support to call the customer directly (photo: numbers shared)); order_status (sim=0.74, Order status / where is my order (order number supplied))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent detail_provided; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.579417+00:00,model_recommendation
GC-015,return_process,return_process,"Return / return pickup process issues (scheduling, windows)","DRAFT (verify): Return / return pickup process issues (scheduling, windows) — customer wrote: '@AmazonHelp Had notification of 3rd item being refunded. Nothing for remaining 2 items'",escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from return_process; margin=0.0, sim=0.725. Human must confirm/correct. Cluster=refund_request. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests return_process; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Had notification of 3rd item being refunded. Nothing for remaining 2 items'. Model suggestion return_process (sim=0.725, margin=0.0) is NOT ground truth. Cluster family=refund_request sampling=common_boundary. Priors considered (2): '@AmazonHelp Yes how else could I have called you 5 times regarding this?'. Historical reply treated as evidence only, not the answer.","refund_request (sim=0.725, Refund / compensation request and refund status); package_damaged (sim=0.514, Item arrived damaged / poor packaging); payment_method (sim=0.49, Payment method declined / card payment failures)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent return_process; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.579715+00:00,model_recommendation
GC-016,ack_thanks,ack_thanks,Conversation closure: thank you / acknowledgement,DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp Thank you',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,true,false,fits,"Model-draft from ack_thanks; margin=0.0, sim=1.0. Human must confirm/correct. Cluster=ack_thanks. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests ack_thanks; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Thank you'. Model suggestion ack_thanks (sim=1.0, margin=0.0) is NOT ground truth. Cluster family=ack_thanks sampling=low_probability_boundary. Priors considered (1): '@AmazonHelp Thank you. Any way he can do this by speaking to a human on the phone?! He’s 79 and not great with online fo'. Historical reply treated as evidence only, not the answer.","ack_willdo (sim=0.802, Conversation closure: commitment to follow the suggested action); ack_done (sim=0.657, Conversation closure: reports the requested action is done); empathy_farewell (sim=0.617, Conversation closure: empathy / politeness formula (that's sad, have a nice day))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent ack_thanks; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.580015+00:00,model_recommendation
GC-017,shipping_speed,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),DRAFT (verify): Paid-for / Prime delivery speed not honoured (one/two-day/same-day) — customer wrote: '@AmazonHelp We have only been told it may be another day or two. I can't plan my working days around Amazon deliveries. Pretty shocked at how late in the day th',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from shipping_speed; margin=0.0, sim=0.707. Human must confirm/correct. Cluster=megacluster_unclear. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests shipping_speed; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp We have only been told it may be another day or two. I can't plan my working days around Amazon deliveries. Pretty shocked at how late in the day th'. Model suggestion shipping_speed (sim=0.707, margin=0.0) is NOT ground truth. Cluster family=megacluster_unclear sampling=common_boundary. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","megacluster_unclear (sim=0.707, Large mixed cluster - not one coherent intent (needs sub-splitting)); delivery_date_change (sim=0.661, Delivery date changed repeatedly); delivery_tracking (sim=0.61, Package / parcel whereabouts (tracking says X but status unclear))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent shipping_speed; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.580340+00:00,model_recommendation
GC-018,detail_provided,detail_provided,Already provided the requested details (DM / form / email / screenshots),DRAFT (verify): Already provided the requested details (DM / form / email / screenshots) — customer wrote: '@AmazonHelp Esses 😍❤️😍❤️ e ameiii. https://t.co/LocWOd81BA',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from detail_provided; margin=0.001, sim=0.756. Human must confirm/correct. Cluster=detail_provided. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests detail_provided; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Esses 😍❤️😍❤️ e ameiii. https://t.co/LocWOd81BA'. Model suggestion detail_provided (sim=0.756, margin=0.001) is NOT ground truth. Cluster family=detail_provided sampling=split_c59. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","off_topic_chat (sim=0.755, Social / @-mention chatter (ambiguous, multilingual)); contest_promo (sim=0.652, Contest / quiz participation and results); complaint_service_quality (sim=0.521, Regional (ES/FR) delivery & support quality complaints)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent detail_provided; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.580687+00:00,model_recommendation
GC-019,delivery_delay,delivery_delay,Delivery failing around Diwali / festivals (India),DRAFT (verify): Delivery failing around Diwali / festivals (India) — customer wrote: '@AmazonHelp J’espère que cet fois les délais seront respectée',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from delivery_delay; margin=0.053, sim=0.68. Human must confirm/correct. Cluster=noise. ",0,no,MEDIUM,Model-draft suggests delivery_delay; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp J’espère que cet fois les délais seront respectée'. Model suggestion delivery_delay (sim=0.68, margin=0.053) is NOT ground truth. Cluster family=noise sampling=multilingual. Priors considered (2): '@AmazonHelp Super le pc que j’avais commander n’est plus disponible, merci beaucoups.'. Historical reply treated as evidence only, not the answer.","time_estimate_query (sim=0.627, Asking how long / how soon (time estimate)); delivery_estimate (sim=0.555, Asking for delivery / dispatch date or estimate window); shipping_speed (sim=0.522, Paid-for / Prime delivery speed not honoured (one/two-day/same-day))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent delivery_delay; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.581106+00:00,model_recommendation
GC-020,complaint_service_quality,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp Not yet as I am not able to contact customer care service',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from complaint_service_quality; margin=0.0, sim=0.645. Human must confirm/correct. Cluster=complaint_service_quality. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests complaint_service_quality; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Not yet as I am not able to contact customer care service'. Model suggestion complaint_service_quality (sim=0.645, margin=0.0) is NOT ground truth. Cluster family=complaint_service_quality sampling=split_c139. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","detail_provided (sim=0.645, Already provided the requested details (DM / form / email / screenshots)); delivery_driver (sim=0.598, Delivery driver behaviour complaint (threw package / did not knock / lied / no contact)); contact_phone_issue (sim=0.559, Phone / IVR / callback channel not working)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent complaint_service_quality; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.581491+00:00,model_recommendation
GC-021,delivery_delay,delivery_delay,Delivery failing around Diwali / festivals (India),"DRAFT (verify): Delivery failing around Diwali / festivals (India) — customer wrote: '@AmazonHelp É amanhã! Só que o rastreamento não atualiza desde domingo, não chegou nem em Porto Alegre ainda 😬😬'",escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from delivery_delay; margin=0.069, sim=0.715. Human must confirm/correct. Cluster=noise. ",0,no,HIGH,Model-draft suggests delivery_delay; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp É amanhã! Só que o rastreamento não atualiza desde domingo, não chegou nem em Porto Alegre ainda 😬😬'. Model suggestion delivery_delay (sim=0.715, margin=0.069) is NOT ground truth. Cluster family=noise sampling=multilingual. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","not_dispatched (sim=0.637, Order not yet dispatched / dispatch status); status_update_request (sim=0.588, Asking support to check / verify current status); delivery_estimate (sim=0.586, Asking for delivery / dispatch date or estimate window)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent delivery_delay; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.581815+00:00,model_recommendation
