candidate_id,annotator,intent_id,intent_name,primary_goal,entities,routing_expectation,escalation_reason,response_requirements,ambiguity,ood,taxonomy_verdict,taxonomy_notes,needs_second_opinion,model_suggestion,suggestion_outcome,annotated_at
GC-007,dhrumil,ack_thanks,Conversation closure: thank you / acknowledgement,Customer is acknowledging/appreciating the support response.,[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from empathy_farewell; margin=0.122, sim=0.54. Human must confirm/correct. Cluster=noise. ",False,empathy_farewell,corrected,2026-09-12T14:38:48.032546+00:00
GC-011,dhrumil,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),"DRAFT (verify): Package / parcel whereabouts (tracking says X but status unclear) — customer wrote: '@AmazonHelp My package just got here. All good, thank you!'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_tracking; margin=0.185, sim=0.803. Human must confirm/correct. Cluster=delivery_tracking. ",False,delivery_tracking,accepted,2026-09-12T14:39:58.218348+00:00
GC-013,dhrumil,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp Be a man of your words and come up with a solution by today. And also I am expecting call from ur management? Is it possible..just disclose it in pu',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from complaint_service_quality; margin=0.077, sim=0.596. Human must confirm/correct. Cluster=complaint_service_quality. ",False,complaint_service_quality,accepted,2026-09-12T17:46:20.751521+00:00
GC-021,dhrumil,delivery_delay,Delivery failing around Diwali / festivals (India),"DRAFT (verify): Delivery failing around Diwali / festivals (India) — customer wrote: '@AmazonHelp É amanhã! Só que o rastreamento não atualiza desde domingo, não chegou nem em Porto Alegre ainda 😬😬'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_delay; margin=0.069, sim=0.715. Human must confirm/correct. Cluster=noise. ",False,delivery_delay,accepted,2026-09-12T17:48:19.130811+00:00
GC-022,dhrumil,ack_thanks,Conversation closure: thank you / acknowledgement,"DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp Thank you for the quick response guys, I will definitely be on the latter.'",[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from ack_thanks; margin=0.115, sim=0.735. Human must confirm/correct. Cluster=ack_thanks. ",False,ack_thanks,accepted,2026-09-12T17:49:23.296287+00:00
GC-033,dhrumil,template_affirm,Conversation closure: short affirmation answers (yes / it is),"DRAFT (verify): Conversation closure: short affirmation answers (yes / it is) — customer wrote: '@AmazonHelp Yes, I have.'",[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from template_affirm; margin=0.186, sim=0.982. Human must confirm/correct. Cluster=template_affirm. ",False,template_affirm,accepted,2026-09-12T17:51:16.706113+00:00
GC-037,dhrumil,refund_request,Refund / compensation request and refund status,DRAFT (verify): Refund / compensation request and refund status — customer wrote: '@AmazonHelp very bad experience from your end. Just want refund. I'm just about to go for consumer forum. Bcz this is shit. I paid 51k.',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from refund_request; margin=0.066, sim=0.708. Human must confirm/correct. Cluster=noise. ",False,refund_request,accepted,2026-09-12T17:54:06.725212+00:00
GC-043,dhrumil,contact_phone_issue,Phone / IVR / callback channel not working,DRAFT (verify): Phone / IVR / callback channel not working — customer wrote: '@AmazonHelp Yes i called lots of time but i got stupid answers each and every time',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from contact_phone_issue; margin=0.195, sim=0.673. Human must confirm/correct. Cluster=noise. ",False,contact_phone_issue,accepted,2026-09-12T17:54:54.547626+00:00
GC-050,dhrumil,delivery_date_change,Delivery date changed repeatedly,Customer wants the order delivered tomorrow / is concerned about the changed delivery date,[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Customer wants the order delivered tomorrow / is concerned about the changed delivery date,False,False,fits,"Model-draft from delivery_carrier; margin=0.064, sim=0.76. Human must confirm/correct. Cluster=megacluster_unclear. ",False,delivery_carrier,corrected,2026-09-12T18:00:31.003287+00:00
GC-051,dhrumil,refund_request,Refund / compensation request and refund status,"DRAFT (verify): Refund / compensation request and refund status — customer wrote: '@AmazonHelp use for nothing, u take freaking, nearly a month for refund of my money, chk for ur self Order # 408-5299194-7037110, my courier charges have not be'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from refund_request; margin=0.077, sim=0.658. Human must confirm/correct. Cluster=noise. ",False,refund_request,accepted,2026-09-12T18:01:23.937929+00:00
GC-059,dhrumil,prime_video,Prime Video: streaming / catalogue / subtitles / regional availability,DRAFT (verify): Prime Video: streaming / catalogue / subtitles / regional availability — customer wrote: '@AmazonHelp BFG doesnt have subtitles either. Why should I pay for a service that charges me twice AND discriminates against me? https://t.co/fBVy8c5f8o',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from prime_video; margin=0.229, sim=0.576. Human must confirm/correct. Cluster=prime_video. ",False,prime_video,accepted,2026-09-12T18:02:31.953806+00:00
GC-060,dhrumil,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),DRAFT (verify): Paid-for / Prime delivery speed not honoured (one/two-day/same-day) — customer wrote: '@AmazonHelp order date- 5th Oct. and you replied that wait 24-48 hours more on 10th Oct. Why should i wait 7 days for a product with PRIME MEMBERSHIP.',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from shipping_speed; margin=0.103, sim=0.677. Human must confirm/correct. Cluster=shipping_speed. ",False,shipping_speed,accepted,2026-09-12T18:03:20.391893+00:00
GC-072,dhrumil,cs_team_no_response,Team not responding / still no reply after contacting support,"DRAFT (verify): Team not responding / still no reply after contacting support — customer wrote: '@AmazonHelp @115851 @127586 @132458 none of your team members are ready to help, they just slam the call on face with sorry'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from cs_team_no_response; margin=0.366, sim=0.815. Human must confirm/correct. Cluster=cs_team_no_response. ",False,cs_team_no_response,accepted,2026-09-12T18:03:52.042259+00:00
GC-079,dhrumil,account_login,Account login / access problems,"DRAFT (verify): Account login / access problems — customer wrote: '@AmazonHelp I can’t sign into my account, can’t start the contact us page'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from account_login; margin=0.23, sim=0.764. Human must confirm/correct. Cluster=account_login. ",False,account_login,accepted,2026-09-12T18:04:28.574288+00:00
GC-082,dhrumil,ack_thanks,Conversation closure: thank you / acknowledgement,DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp Please Help',[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from ack_thanks; margin=0.182, sim=0.75. Human must confirm/correct. Cluster=ack_thanks. ",False,ack_thanks,accepted,2026-09-12T18:04:59.429741+00:00
GC-084,dhrumil,account_login,Account login / access problems,DRAFT (verify): Account login / access problems — customer wrote: '@AmazonHelp just keeps saying incorrect password.... and i got an email saying i just purchased something.',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from account_login; margin=0.224, sim=0.764. Human must confirm/correct. Cluster=account_login. ",False,account_login,accepted,2026-09-12T18:06:30.469749+00:00
GC-086,dhrumil,order_status,Order status / where is my order (order number supplied),DRAFT (verify): Order status / where is my order (order number supplied) — customer wrote: '@AmazonHelp I placed the order on https://t.co/ySe8JgJ0ke',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from order_status; margin=0.136, sim=0.81. Human must confirm/correct. Cluster=order_status. ",False,order_status,accepted,2026-09-12T18:07:04.869888+00:00
GC-087,dhrumil,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),DRAFT (verify): Package / parcel whereabouts (tracking says X but status unclear) — customer wrote: '@AmazonHelp Just get my package it was suppose to be here today but oh no',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_tracking; margin=0.092, sim=0.839. Human must confirm/correct. Cluster=delivery_tracking. ",False,delivery_tracking,accepted,2026-09-12T18:07:52.193127+00:00
GC-096,dhrumil,order_status,Order status / where is my order (order number supplied),DRAFT (verify): Order status / where is my order (order number supplied) — customer wrote: '@AmazonHelp 7009059733 check detail',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from order_status; margin=0.149, sim=0.775. Human must confirm/correct. Cluster=order_status. ",False,order_status,accepted,2026-09-12T18:08:41.864172+00:00
GC-099,dhrumil,negative_frustration,Frustration / anger with little or no actionable request,"DRAFT (verify): Frustration / anger with little or no actionable request — customer wrote: '@AmazonHelp There is a flaw in your website. On countries settings , it shows "" India"". When i click change button, it shows Unites states by default.'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from negative_frustration; margin=0.15, sim=0.522. Human must confirm/correct. Cluster=negative_frustration. ",False,negative_frustration,accepted,2026-09-12T18:09:34.342990+00:00
GC-100,dhrumil,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),"DRAFT (verify): Package / parcel whereabouts (tracking says X but status unclear) — customer wrote: '@AmazonHelp Oct 27-29, but the package has been in San Antonio since noon, this is dumb as hell y'all'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_tracking; margin=0.105, sim=0.74. Human must confirm/correct. Cluster=delivery_tracking. ",False,delivery_tracking,accepted,2026-09-12T18:10:11.311798+00:00
GC-104,dhrumil,ack_willdo,Conversation closure: commitment to follow the suggested action,DRAFT (verify): Conversation closure: commitment to follow the suggested action — customer wrote: '@AmazonHelp Thanks. Will do!',[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from ack_willdo; margin=0.067, sim=0.97. Human must confirm/correct. Cluster=ack_willdo. ",False,ack_willdo,accepted,2026-09-12T18:10:18.898337+00:00
GC-105,dhrumil,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp Só estou pedindo um pouco mais atenção para com os clientes. Esta situação é frustrante e vocês devem cobrar isso da transportadora.',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from complaint_service_quality; margin=0.11, sim=0.693. Human must confirm/correct. Cluster=noise. ",False,complaint_service_quality,accepted,2026-09-12T18:10:24.059182+00:00
GC-107,dhrumil,delivery_driver,Delivery driver behaviour complaint (threw package / did not knock / lied / no contact),DRAFT (verify): Delivery driver behaviour complaint (threw package / did not knock / lied / no contact) — customer wrote: '@AmazonHelp Your delivery boy not answering my call.',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_driver; margin=0.11, sim=0.641. Human must confirm/correct. Cluster=delivery_driver. ",False,delivery_driver,accepted,2026-09-12T18:10:43.629428+00:00
GC-116,dhrumil,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),DRAFT (verify): Paid-for / Prime delivery speed not honoured (one/two-day/same-day) — customer wrote: '@AmazonHelp since when did you guys raise the minimum to $35 for Prime Now orders ?',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from shipping_speed; margin=0.117, sim=0.682. Human must confirm/correct. Cluster=shipping_speed. ",False,shipping_speed,accepted,2026-09-12T18:11:16.956175+00:00
GC-119,dhrumil,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp still no response from your end.pathetic customer service',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from complaint_service_quality; margin=0.1, sim=0.857. Human must confirm/correct. Cluster=complaint_service_quality. ",False,complaint_service_quality,accepted,2026-09-12T18:11:31.385418+00:00
GC-125,dhrumil,order_status,Order status / where is my order (order number supplied),DRAFT (verify): Order status / where is my order (order number supplied) — customer wrote: '@AmazonHelp Selected other order issue and it doesn't allow you to go any further https://t.co/UW9Wgwc1oj',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from order_status; margin=0.161, sim=0.742. Human must confirm/correct. Cluster=order_status. ",False,order_status,accepted,2026-09-12T18:11:42.179469+00:00
GC-132,dhrumil,ack_thanks,Conversation closure: thank you / acknowledgement,DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp Thankyou for your help.',[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from ack_thanks; margin=0.16, sim=0.908. Human must confirm/correct. Cluster=ack_thanks. ",False,ack_thanks,accepted,2026-09-12T18:11:45.235449+00:00
GC-136,dhrumil,contact_phone_issue,Phone / IVR / callback channel not working,DRAFT (verify): Phone / IVR / callback channel not working — customer wrote: '@AmazonHelp I cannot use a pc as I am travelling. How difficult is it for you to take my contact number check my issue and contact me?',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from contact_phone_issue; margin=0.07, sim=0.633. Human must confirm/correct. Cluster=contact_phone_issue. ",False,contact_phone_issue,accepted,2026-09-12T18:11:47.830121+00:00
GC-137,dhrumil,delivery_delay,Delivery failing around Diwali / festivals (India),DRAFT (verify): Delivery failing around Diwali / festivals (India) — customer wrote: '@AmazonHelp Your are helping Is the main concern and am tired doing follow ups on festival eve Horrible experience &amp; complete diwali spoiler',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_delay; margin=0.164, sim=0.615. Human must confirm/correct. Cluster=noise. ",False,delivery_delay,accepted,2026-09-12T18:12:09.372115+00:00
GC-144,dhrumil,product_question,Product specification / eligibility question before purchase,DRAFT (verify): Product specification / eligibility question before purchase — customer wrote: '@AmazonHelp No it's fine.... I just forgot to put the battery',[],clarify,,Ask one safe clarifying question; must not request order IDs/payment/phone publicly; offer private handoff if needed.,False,False,fits,"Model-draft from product_question; margin=0.34, sim=0.835. Human must confirm/correct. Cluster=product_question. ",False,product_question,accepted,2026-09-12T18:12:11.612647+00:00
GC-146,dhrumil,resolution_pending,"Awaiting resolution outcome / case progress (investigation, complaint, case)","DRAFT (verify): Awaiting resolution outcome / case progress (investigation, complaint, case) — customer wrote: '@AmazonHelp They say it takes up to 12hrs for a reply'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from resolution_pending; margin=0.213, sim=0.818. Human must confirm/correct. Cluster=resolution_pending. ",False,resolution_pending,accepted,2026-09-12T18:12:13.990927+00:00
GC-147,dhrumil,order_status,Order status / where is my order (order number supplied),DRAFT (verify): Order status / where is my order (order number supplied) — customer wrote: '@AmazonHelp Order # 112-6272395-4288266',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from order_status; margin=0.187, sim=0.969. Human must confirm/correct. Cluster=order_status. ",False,order_status,accepted,2026-09-12T18:12:16.135827+00:00
GC-148,dhrumil,refund_request,Refund / compensation request and refund status,DRAFT (verify): Refund / compensation request and refund status — customer wrote: '@AmazonHelp tell you that u have to wait for 3 days for this and when time is over they denied about refund',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from refund_request; margin=0.083, sim=0.739. Human must confirm/correct. Cluster=refund_request. ",False,refund_request,accepted,2026-09-12T18:12:31.250234+00:00
GC-159,dhrumil,cs_team_no_response,Team not responding / still no reply after contacting support,DRAFT (verify): Team not responding / still no reply after contacting support — customer wrote: '@AmazonHelp Dear team not respond Ur team..',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from cs_team_no_response; margin=0.197, sim=0.778. Human must confirm/correct. Cluster=cs_team_no_response. ",False,cs_team_no_response,accepted,2026-09-12T18:12:33.267295+00:00
GC-166,dhrumil,fire_tv,"Fire TV Stick issues (control, storage, freezing)","DRAFT (verify): Fire TV Stick issues (control, storage, freezing) — customer wrote: '@AmazonHelp Not the stick the NEW FIRE TV DONGLE THING.'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from fire_tv; margin=0.108, sim=0.669. Human must confirm/correct. Cluster=fire_tv. ",False,fire_tv,accepted,2026-09-12T18:12:35.120482+00:00
GC-168,dhrumil,negative_frustration,Frustration / anger with little or no actionable request,DRAFT (verify): Frustration / anger with little or no actionable request — customer wrote: '@AmazonHelp already chase ur #resolution team Jokers never learn simply sorry and work done.. Pathetic @35358 @115850',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from negative_frustration; margin=0.259, sim=0.799. Human must confirm/correct. Cluster=negative_frustration. ",False,negative_frustration,accepted,2026-09-12T18:12:37.247082+00:00
GC-173,dhrumil,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,"DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp Hi, I have spoken to the customer care and they have said that it’s a known issue. They have anyways escalated the issue to the concerned team. Do y'",[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from complaint_service_quality; margin=0.067, sim=0.684. Human must confirm/correct. Cluster=complaint_service_quality. ",False,complaint_service_quality,accepted,2026-09-12T18:12:39.275139+00:00
GC-182,dhrumil,contact_channel,How to reach support (phone number / chat option / email),DRAFT (verify): How to reach support (phone number / chat option / email) — customer wrote: '@AmazonHelp Do you have a linj for an online chat? :)',[],clarify,,Ask one safe clarifying question; must not request order IDs/payment/phone publicly; offer private handoff if needed.,False,False,fits,"Model-draft from contact_channel; margin=0.233, sim=0.644. Human must confirm/correct. Cluster=contact_channel. ",False,contact_channel,accepted,2026-09-12T18:12:41.360718+00:00
GC-185,dhrumil,cs_team_no_response,Team not responding / still no reply after contacting support,DRAFT (verify): Team not responding / still no reply after contacting support — customer wrote: '@AmazonHelp no reply?',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from cs_team_no_response; margin=0.268, sim=0.782. Human must confirm/correct. Cluster=cs_team_no_response. ",False,cs_team_no_response,accepted,2026-09-12T18:12:43.525396+00:00
GC-187,dhrumil,stock_availability,Stock / CODPIN / pincode availability; item out of stock,"DRAFT (verify): Stock / CODPIN / pincode availability; item out of stock — customer wrote: '@AmazonHelp That is exactly what Im trying to say. I stay in the capital city of Manipur - Imphal with pin code 795001, n it is not serviceable by amazon Prime '",[],clarify,,Ask one safe clarifying question; must not request order IDs/payment/phone publicly; offer private handoff if needed.,False,False,fits,"Model-draft from stock_availability; margin=0.084, sim=0.52. Human must confirm/correct. Cluster=stock_availability. ",False,stock_availability,accepted,2026-09-12T18:12:45.574182+00:00
GC-188,dhrumil,ack_thanks,Conversation closure: thank you / acknowledgement,DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp I got the information. Thanks ...',[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from ack_thanks; margin=0.22, sim=0.83. Human must confirm/correct. Cluster=ack_thanks. ",False,ack_thanks,accepted,2026-09-12T18:12:56.990891+00:00
GC-190,dhrumil,carrier_unreachable,Carrier not reachable / no tracking number returned,DRAFT (verify): Carrier not reachable / no tracking number returned — customer wrote: '@AmazonHelp Puedo contactar al transportista por ese mismo enlace?',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from carrier_unreachable; margin=0.165, sim=0.793. Human must confirm/correct. Cluster=carrier_unreachable. ",False,carrier_unreachable,accepted,2026-09-12T18:13:01.180985+00:00
GC-191,dhrumil,review_q,Product review removed / review guideline question,Report/question concerns about inconsistent or misleading product reviews,[],escalate,Product specification / eligibility question before purchase,Ask one safe clarifying question; must not request order IDs/payment/phone publicly; offer private handoff if needed.,True,False,fits,"Model-draft from product_question; margin=0.293, sim=0.698. Human must confirm/correct. Cluster=product_question. ",False,product_question,corrected,2026-09-12T18:16:03.771255+00:00
GC-197,dhrumil,delivery_driver,Delivery driver behaviour complaint (threw package / did not knock / lied / no contact),DRAFT (verify): Delivery driver behaviour complaint (threw package / did not knock / lied / no contact) — customer wrote: '@AmazonHelp Oh dont worry i caught the driver before he pulled out. We would have been two pallets short. That shouldn't happen. Especially not during this seas',[],escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,False,False,fits,"Model-draft from delivery_driver; margin=0.186, sim=0.713. Human must confirm/correct. Cluster=delivery_driver. ",False,delivery_driver,accepted,2026-09-12T18:16:29.013768+00:00
