candidate_id,source_episode_id,customer_message_id,conversation_id,customer_text,cluster_id,cluster_family,sampling_reason,embedding_index,cluster_probability,outlier_score,centroid_margin
GC-019,91354,91354,91376,@AmazonHelp J’espère que cet fois les délais seront respectée,-1,noise,multilingual,3166,0.0,0.888,0.0528
GC-020,96783,96783,96784,@AmazonHelp Not yet as I am not able to contact customer care service,139,complaint_service_quality,split_c139,3412,1.0,0.0,0.0003
GC-021,103097,103097,103102,"@AmazonHelp É amanhã! Só que o rastreamento não atualiza desde domingo, não chegou nem em Porto Alegre ainda 😬😬",-1,noise,multilingual,3673,0.0,0.9222,0.0686
GC-022,103125,103125,103126,"@AmazonHelp Thank you for the quick response guys, I will definitely be on the latter.",130,ack_thanks,common_random,3681,0.7669,0.2331,0.1151
GC-023,108228,108228,108226,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,3865,0.5171,0.4829,0.0
GC-024,111785,111785,111800,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,3978,0.5132,0.4868,0.0
GC-025,132408,132408,132412,@AmazonHelp Item is in stock also can you check dm,14,detail_provided,common_boundary,4850,0.7135,0.4172,0.0
GC-026,136997,136997,137001,@AmazonHelp Well I mean that doesn’t answer my question but okay,75,cs_team_no_response,common_boundary,5204,0.5989,0.4011,0.0003
GC-027,149237,149237,149238,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,5841,0.6055,0.3945,0.0
GC-028,150542,150542,150540,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,5873,0.7123,0.2877,0.0
GC-029,150635,150635,150636,@AmazonHelp That is the date provided everything says prime delivery yet everything I’m buying it has me waiting near a week for it. What happened to next day ?,156,shipping_speed,common_boundary,5897,1.0,0.4703,0.0001
GC-030,166338,166338,166347,"@AmazonHelp À quoi bon? C'est pas la première fois et ça ne sert à RIEN quand on commande depuis la Suisse. Bref. Merci, j'attendrai ENCORE. Bonne soirée",-1,noise,multilingual,6385,0.0,0.9645,0.0153
GC-031,256718,256718,256716,@AmazonHelp Are u looking into this??? Or should I chase consumer court ??,139,complaint_service_quality,safety_sensitive,10641,1.0,0.0,0.0181
GC-032,257819,257819,257823,@AmazonHelp Still no delivery and tracking still says out for delivery. What happens now please? Really wanted the item today 🙁 https://t.co/YvgyaWbwD0,146,delivery_tracking,common_boundary,10686,0.7736,0.6336,0.0004
GC-033,281941,281941,281936,"@AmazonHelp Yes, I have.",93,template_affirm,rare_cluster,11879,1.0,0.0,0.1861
GC-034,308198,308198,308196,"@AmazonHelp Parece un chiste... Porque cualquiera de las opciones de ese link me pide que ingrese, que es justamente lo que el sitio no me deja. Ayuda?",53,link_issue,merge_MG-07,13191,0.9592,0.0408,0.0387
GC-035,314392,314392,274761,@AmazonHelp Plz return my money @115850 fraud. U cheated with me plz return my money.,-1,noise,safety_sensitive,13544,0.0,0.9151,0.0085
GC-036,347930,347930,347927,@AmazonHelp Then atleast train your customer service and inform them about the new offers. Also start a dedicated toll free number for customer service.,139,complaint_service_quality,common_boundary,15389,0.8928,0.595,0.0001
GC-037,352357,352357,352348,@AmazonHelp very bad experience from your end. Just want refund. I'm just about to go for consumer forum. Bcz this is shit. I paid 51k.,-1,noise,safety_sensitive,15825,0.0,0.8414,0.0663
GC-038,360715,360715,360730,@AmazonHelp When u wl get back to me..its already 2 month over.. @AmazonHelp @115851,7,megacluster_unclear,split_cluster7,16219,1.0,0.7654,0.1204
GC-039,384504,384504,384192,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,17321,0.7736,0.2264,0.0
GC-040,388474,388474,388457,"@AmazonHelp I want my money back . I know you have no solution, only time pass.",189,refund_request,common_random,17594,1.0,0.0059,0.0541
GC-041,390036,390036,390031,@AmazonHelp Thank you for providing swift resolution. :),30,resolution_pending,merge_MG-09,17701,0.1708,0.8292,0.0047
GC-042,398697,398697,398695,@AmazonHelp @210293 Wat wud be the runtime of #ArjunReddyOnAmazonPrime,70,off_topic_chat,ood_candidate,18028,0.665,0.335,0.0734
GC-043,420069,420069,420070,@AmazonHelp Yes i called lots of time but i got stupid answers each and every time,-1,noise,ordinary_random,18693,0.0,0.5849,0.1946
GC-044,428312,428312,421725,@AmazonHelp still waiting for your revert,159,waiting_status,merge_MG-04,19366,0.5578,0.4422,0.0108
GC-045,439697,439697,348045,@AmazonHelp Reverted but failed. Share correct email id,185,cs_team_no_response,merge_MG-05,20169,0.4587,0.5413,0.001
GC-046,439704,439704,348045,@AmazonHelp Is amazon people r illiterate ??? I said my account is locked then how i can enter in this link.. plz tell MM.. m really fade up,7,megacluster_unclear,split_cluster7,20172,1.0,0.808,0.0339
GC-047,448287,448287,448292,"@AmazonHelp De nada, Vendido por Amazon EU S.a.r.L..",7,megacluster_unclear,split_cluster7,20789,1.0,0.3789,0.1543
GC-048,455489,455489,455485,"@AmazonHelp Scratch that, this one is US PS",10,delivery_carrier,merge_MG-08,21101,0.3036,0.6964,0.0037
GC-049,494857,494857,494858,@AmazonHelp I'm not going to put my account info on Twitter. This is the 4th time you have delivered to an unmarked door that I do not have access to. Now my chat on Amazon w CS is frozen cause u guys suck,7,megacluster_unclear,common_random,22965,1.0,0.4341,0.01
GC-050,503376,503376,503374,@AmazonHelp Royal Mail says it is ou for delivery but my Amazon account said it should have been here by 8pm and now won't be here till the 5th. I need this order tomorrow.,7,megacluster_unclear,split_cluster7,23296,1.0,0.5356,0.0645
GC-051,532582,532582,532584,"@AmazonHelp use for nothing, u take freaking, nearly a month for refund of my money, chk for ur self Order # 408-5299194-7037110, my courier charges have not been refunded, i have to beg for it, bloody fraud ppls. and u give me no legit ans for delay.",-1,noise,safety_sensitive,24468,0.0,0.5535,0.0769
GC-052,534123,534123,534128,"@AmazonHelp So, let me get this straight, you want me to wait for an ""account specialist"" again (assuming they actually answer this time) or do it myself with the link you sent me, which takes me here. This is the third link your customer support has sent me that goes straight to login. https://t.co/MmU66qF0CC",184,account_login,common_boundary,24553,0.7952,0.775,0.0002
GC-053,538615,538615,538616,@AmazonHelp Pas utile au final le paquet a été mis dans ma boîte à lettres. Comment il a pu l’ouvrir est une autre histoire vu que son collègue hier n’avait pas pu/su le faire 🤔,-1,noise,multilingual,24818,0.0,0.9411,0.0178
GC-054,542187,542187,542191,"@AmazonHelp I havent contacted you this is my first contact, there been zero update on the package since half past Midnight... it changed from guaranteed today now saying 2-5th Dec on my tracking",146,delivery_tracking,common_boundary,24909,0.5569,0.7362,0.0004
GC-055,619107,619107,619114,@AmazonHelp Wonder wat check is being done by ur team.. most disgusting hw grievances r handled..It’s not the amt it’s ethics. Amazon quick in comiting,7,megacluster_unclear,split_cluster7,27221,1.0,0.7432,0.0061
GC-056,635710,635710,635712,"@AmazonHelp Tried order a product for 30 mins straight. Kept saying in stock &amp; add to cart but it would keep telling me the item was not available choose another seller. However, Amazon was the only seller. Your rep response, ehh, quantity got lower to the point it was gone. Buy it (1/2)",7,megacluster_unclear,common_boundary,27624,1.0,0.3317,0.0
GC-057,686671,686671,686672,"@AmazonHelp Pas encore, j'attends que @132988 fasse son travail, je ne peux pas conduire actuellement donc aucun moyen de récupérer mon colis là ils vont daigner le déposer. Saoulant quand on paie un premium pour être tranquille..",-1,noise,noise_diverse,29442,0.0,0.932,0.0056
GC-058,706853,706853,706860,@AmazonHelp Just spoke to uk help. Looks like the driver couldnt find my address. Why didnt he use the drivers help line? Norwich dispatch,198,delivery_driver,common_boundary,29871,0.6045,0.3955,0.0
GC-059,708537,708537,708533,@AmazonHelp BFG doesnt have subtitles either. Why should I pay for a service that charges me twice AND discriminates against me? https://t.co/fBVy8c5f8o,82,prime_video,rare_cluster,29931,1.0,0.0,0.2292
GC-060,725927,725927,421372,@AmazonHelp order date- 5th Oct. and you replied that wait 24-48 hours more on 10th Oct. Why should i wait 7 days for a product with PRIME MEMBERSHIP.,156,shipping_speed,common_random,30339,1.0,0.449,0.1032
GC-061,740979,740979,740980,@AmazonHelp @115850 @AmazonHelp you can't block any customers without any reasons. If you block please give reasons https://t.co/iZWe7wSRFC,7,megacluster_unclear,ordinary_random,30921,1.0,0.6304,0.1944
GC-062,748790,748790,748793,@AmazonHelp Product still not deliverd. 4 days tat violated. What #fraud is @115850 doing???,-1,noise,safety_sensitive,31226,0.0,0.948,0.0557
GC-063,782342,782342,782327,@AmazonHelp Yeah ok Thanks,-1,noise,noise_diverse,32248,0.0,0.9703,0.0009
GC-064,787546,787546,787547,@AmazonHelp Hemp oil,-1,noise,short_message,32530,0.0,0.6865,0.0777
GC-065,810797,810797,810793,"@AmazonHelp Wat r u talking? No reply, no offer, no compnsation 4 d trouble,time&amp;patience I lost? Escalation team promises r worthless. Wasted 1hr daily",29,cs_team_no_response,merge_MG-05,33451,0.3913,0.6087,0.0003
GC-066,814298,814298,814302,"@AmazonHelp Que contactara con el fabricante y qué amazon solo puede realizar el reembolso del producto que compre, desentendiendose de los daños",7,megacluster_unclear,split_cluster7,33599,1.0,0.7826,0.1337
GC-067,816143,816143,816144,"@AmazonHelp awesome, thanks - have sent it on :)",178,detail_provided,merge_MG-06,33710,0.6487,0.3513,0.0049
GC-068,816953,816953,816954,@AmazonHelp Right thanks,17,ack_thanks,merge_MG-01,33731,0.9813,0.0187,0.0014
GC-069,840472,840472,840462,@AmazonHelp Thanks for reply. How long will it take? Why the delay? And can I get a refund?,189,refund_request,common_boundary,34524,1.0,0.0002,0.0001
GC-070,849768,849768,849771,@AmazonHelp Your customer service supervisor Prabhat hung up on my fiancé stating can’t do anything and another supervisor Ranjita gave me email id to complaint stating this is the best she can do. Is this really the best Amazon can do for such abuse. We are also filing an FIR.,7,megacluster_unclear,safety_sensitive,34967,1.0,0.6095,0.1395
GC-071,861269,861269,861263,@AmazonHelp I sure will,110,ack_willdo,merge_MG-02,35327,0.7927,0.2073,0.0033
GC-072,866004,866004,863820,"@AmazonHelp @115851 @127586 @132458 none of your team members are ready to help, they just slam the call on face with sorry",29,cs_team_no_response,common_confident,35490,1.0,0.0,0.366
GC-073,868667,868667,868669,"@AmazonHelp Okay thanks, let me go ahead and delete this post for now. Thanks for the quick reply",42,transitional,split_c42,35582,0.2696,0.7304,0.0009
GC-074,954108,954108,946575,@AmazonHelp Ok. What do I tell my son tomorrow. It’s his 13 birthday. Any ideas how not to crush a 13 year olds heart.,143,gift_delivery,split_c143,38175,0.8939,0.4905,0.0032
GC-075,970506,970506,970504,"@AmazonHelp The number for the pick up store has been switched off since morning.. mind you, I dont have a phone right now.. Argh!!!",-1,noise,noise_diverse,38823,0.0,0.9673,0.0021
GC-076,977702,977702,977704,@AmazonHelp UPS and USPS,148,delivery_carrier,merge_MG-08,39191,0.4974,0.5026,0.0054
GC-077,1011471,1011471,1011476,@AmazonHelp Done. Will wait for your call,158,waiting_status,merge_MG-04,40454,0.9489,0.0511,0.0195
GC-078,1029680,1029680,1029686,@AmazonHelp I am not seeing any link?,55,link_issue,merge_MG-07,40957,0.4209,0.5791,0.0111
GC-079,1044266,1044266,1044268,"@AmazonHelp I can’t sign into my account, can’t start the contact us page",184,account_login,common_random,41476,1.0,0.0365,0.2302
GC-080,1099740,1099740,1096784,@AmazonHelp Il y a tout de même une erreur à remonter chez vous dans vos services.,-1,noise,multilingual,42984,0.0,0.9268,0.057
GC-081,1099794,1099794,1099795,@AmazonHelp Keep the prompt service ! Enlightened :),130,ack_thanks,merge_MG-01,42995,0.5058,0.4942,0.0002
GC-082,1107299,1107299,1107302,@AmazonHelp Please Help,107,ack_thanks,short_message,43261,0.3524,0.6476,0.1822
GC-083,1116569,1116569,1116567,@AmazonHelp Thank you,3,ack_thanks,rare_cluster,43586,1.0,0.0,0.0
GC-084,1168471,1168471,1168472,@AmazonHelp just keeps saying incorrect password.... and i got an email saying i just purchased something.,184,account_login,common_confident,45331,1.0,0.5746,0.2245
GC-085,1186498,1186498,1186499,@AmazonHelp Eu peguei agora a pouco. Vou começar a ler. Obrigada ❤️,109,off_topic_chat,ood_candidate,45698,0.9823,0.6274,0.061
GC-086,1188146,1188146,1188147,@AmazonHelp I placed the order on https://t.co/ySe8JgJ0ke,202,order_status,common_confident,45729,1.0,0.1554,0.1357
GC-087,1205000,1205000,1205007,@AmazonHelp Just get my package it was suppose to be here today but oh no,195,delivery_tracking,common_random,46202,0.9265,0.3002,0.0923
GC-088,1213391,1213391,1213394,@AmazonHelp No tardaré!! Jejeje,122,off_topic_chat,common_confident,46609,1.0,0.1895,0.1772
GC-089,1225663,1225663,1225667,@AmazonHelp Liefertermin wäre heute gewesen.,-1,noise,multilingual,47093,0.0,0.8513,0.0163
GC-090,1245963,1245963,1245964,@AmazonHelp @412295 hardly any items available for next day delivery. Doesnt fly in todays world. One or two ive found prices jacked to 5.99 Prime mem since beg,156,shipping_speed,common_boundary,47710,0.8708,0.6041,0.0
GC-091,1252588,1252588,1243793,@AmazonHelp Thanks for your customer service!,139,complaint_service_quality,common_random,47934,1.0,0.0,0.0255
GC-092,1259025,1259025,1259026,@AmazonHelp ca devrait arriver aujourd'hui 👌,175,template_time,merge_MG-03,48160,0.7651,0.2349,0.0099
GC-093,1274981,1274981,1274979,"@AmazonHelp Mal schaun, ob das Feedback reicht",74,detail_provided,rare_cluster,48886,1.0,0.0,0.1749
GC-094,1280598,1280598,1280602,"@AmazonHelp Kindle Paperwhite, 7th Generation, Firmware 5.8.10",109,off_topic_chat,common_random,49146,0.9301,0.6472,0.0428
GC-095,1281421,1281421,1281419,"@AmazonHelp It's been 4 days over and amazon denying to take ""poor phone"" back. This happens as I was busy with Diwali programme.",7,megacluster_unclear,split_cluster7,49178,0.936,0.8309,0.0593
GC-096,1284496,1284496,1284500,@AmazonHelp 7009059733 check detail,71,order_status,short_message,49239,1.0,0.0,0.1489
GC-097,1338691,1338691,1338692,"@AmazonHelp How long does it take for a rep to email me back? I sent an email Friday AM about a package never received, but still no response.",-1,noise,noise_diverse,51030,0.0,0.97,0.0048
GC-098,1366073,1366073,1366077,@AmazonHelp 6:27 pm yesterday (24/11/17) it said out for delivery. That was the last I've heard.,196,delivery_tracking,rare_cluster,51794,0.9218,0.0782,0.04
GC-099,1370757,1370757,1370763,"@AmazonHelp There is a flaw in your website. On countries settings , it shows "" India"". When i click change button, it shows Unites states by default.",32,negative_frustration,rare_cluster,51971,0.8114,0.1886,0.1498
GC-100,1373243,1373243,1373233,"@AmazonHelp Oct 27-29, but the package has been in San Antonio since noon, this is dumb as hell y'all",195,delivery_tracking,common_confident,52067,1.0,0.0,0.1051
GC-101,1380311,1380311,1380281,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,52379,0.6988,0.3012,0.0
GC-102,1381878,1381878,1208753,@AmazonHelp I know what and when t check. You don't have reason for cancellation of COD. More over u asked t book it for third time,41,status_update_request,merge_MG-09,52484,0.4264,0.5736,0.0471
GC-103,1383853,1383853,1383849,@AmazonHelp Email option not available,185,cs_team_no_response,common_boundary,52549,0.4587,0.5413,0.0001
GC-104,1384281,1384281,1384279,@AmazonHelp Thanks. Will do!,113,ack_willdo,short_message,52596,1.0,0.0,0.0667
GC-105,1386447,1386447,1386445,@AmazonHelp Só estou pedindo um pouco mais atenção para com os clientes. Esta situação é frustrante e vocês devem cobrar isso da transportadora.,-1,noise,multilingual,52670,0.0,0.6336,0.1102
GC-106,1390034,1390034,1389987,@AmazonHelp No. U guys are not understanding my problem. It was gift for someone which supposed to be gifted on 27th. Poor Third class service,143,gift_delivery,split_c143,52855,0.7923,0.5484,0.0031
GC-107,1394532,1394532,1394547,@AmazonHelp Your delivery boy not answering my call.,137,delivery_driver,common_confident,53028,1.0,0.0,0.1095
GC-108,1401335,1401335,1401336,@AmazonHelp Gracias! 🙏🏻,134,ack_thanks,common_confident,53247,1.0,0.0,0.0032
GC-109,1411568,1411568,1411571,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,53565,0.0161,0.9839,0.0
GC-110,1458029,1458029,1456346,"@AmazonHelp Commande #404-5388972-2885139 réclamation faite, premium résilié, une cliente de perdue qui ne vous recommandera plus",71,order_status,common_boundary,55153,0.4525,0.5475,0.0001
GC-111,1459751,1459751,1459749,@AmazonHelp Thank you,4,ack_thanks,common_boundary,55195,0.0049,0.9951,0.0
GC-112,1473739,1473739,1473740,"@AmazonHelp As a Jets fan, this was the only Thursday night game I really wanted to watch. Thanks for nothing!",-1,noise,noise_diverse,55525,0.0,0.9684,0.0197
GC-113,1484808,1484808,1484806,"@AmazonHelp Thanks very much, I'll check it out. Fab customer service as always.",139,complaint_service_quality,common_boundary,55835,1.0,0.0,0.0001
GC-114,1494713,1494713,1494714,@AmazonHelp there is no error I am not being connected to any customer care executive. It tells me to got to the website and there is no solution.,139,complaint_service_quality,split_c139,56307,1.0,0.0,0.0001
GC-115,1496015,1496015,1496016,"@AmazonHelp Está prevista para hoy, día 3 de noviembre, pero por anteriores experiencias, mis expectativas no son muy buenas :(",167,template_time,merge_MG-03,56383,0.2349,0.7651,0.0
GC-116,1524039,1524039,1524041,@AmazonHelp since when did you guys raise the minimum to $35 for Prime Now orders ?,156,shipping_speed,common_confident,57249,1.0,0.0106,0.1174
GC-117,1541878,1541878,1541867,@AmazonHelp Just to email back via the help page from the email associated with my account. Which i can't do...because this is the email,184,account_login,split_c184,57594,0.9433,0.7331,0.0009
GC-118,1550792,1550792,1550793,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,57865,0.4806,0.5194,0.0
GC-119,1553835,1553835,1553840,@AmazonHelp still no response from your end.pathetic customer service,139,complaint_service_quality,common_confident,57945,1.0,0.1463,0.0998
GC-120,1561504,1561504,1561505,"@AmazonHelp Still not here and no reply from you, the whole point of pre ordering is to guarantee getting the product on release, should have just bought it in Asda, tell me why I should ever use amazon again???",7,megacluster_unclear,split_cluster7,58187,1.0,0.7821,0.2142
GC-121,1566957,1566957,1566958,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,58414,0.4924,0.5076,0.0
GC-122,1581384,1581384,1581379,@AmazonHelp 😞 helppp https://t.co/TmOZEpnJiW,59,detail_provided,common_confident,58959,1.0,0.3742,0.0703
GC-123,1581993,1581993,1581994,@AmazonHelp You can check the case by order number the issue,201,order_status,common_boundary,58968,0.3619,0.6381,0.0002
GC-124,1586180,1586180,1576286,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,59082,0.4869,0.5131,0.0
GC-125,1622142,1622142,1622143,@AmazonHelp Selected other order issue and it doesn't allow you to go any further https://t.co/UW9Wgwc1oj,202,order_status,common_random,60101,0.9537,0.1966,0.1609
GC-126,1698740,1698740,1698742,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,61948,0.4719,0.5281,0.0
GC-127,1706256,1706256,1706257,@AmazonHelp Just filled in the details though not sure why it pointed to an amazon.in page. Waiting to see if I get any traction... thanks,7,megacluster_unclear,common_confident,62139,1.0,0.598,0.135
GC-128,1721586,1721586,1721582,@AmazonHelp I know the dates :) We are waiting for the ticketmaster codes for the presale for dublin!,-1,noise,noise_diverse,62632,0.0,0.9693,0.0542
GC-129,1736220,1736220,1736215,"@AmazonHelp Desde que envían internacional, nunca cae mal :) uno se ahorra casillas y trámites :)",-1,noise,noise_diverse,63290,0.0,0.9772,0.0218
GC-130,1751570,1751570,1751571,@AmazonHelp Uno para hoy y otro mañana,175,template_time,multilingual,63798,0.9091,0.0909,0.0558
GC-131,1753348,1753348,1753350,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,63871,0.48,0.52,0.0
GC-132,1755995,1755995,1755993,@AmazonHelp Thankyou for your help.,107,ack_thanks,short_message,63937,0.5799,0.4201,0.1595
GC-133,1765172,1765172,1765173,"@AmazonHelp I have yes, but as far as I'm aware I haven't shared them with anyone",-1,noise,noise_diverse,64167,0.0,0.9476,0.0513
GC-134,1824793,1824793,1824787,"@AmazonHelp I had word with Amazon delivery boy but he disconnected my call by saying ""Delivery address is not in my default list",7,megacluster_unclear,split_cluster7,64937,1.0,0.6809,0.0447
GC-135,1825819,1825819,1825820,"@AmazonHelp Bonjour, C'est tout bon, j'ai réglé ça avec votre service client ! Je retire ce que j'ai dis, plutôt satisfait finalement. :) Merci !",-1,noise,noise_diverse,64946,0.0,0.9524,0.0178
GC-136,1953570,1953570,1953577,@AmazonHelp I cannot use a pc as I am travelling. How difficult is it for you to take my contact number check my issue and contact me?,160,contact_phone_issue,rare_cluster,66265,1.0,0.0,0.0702
GC-137,1961163,1961163,1961164,@AmazonHelp Your are helping Is the main concern and am tired doing follow ups on festival eve Horrible experience &amp; complete diwali spoiler,-1,noise,ordinary_random,66395,0.0,0.9732,0.1636
GC-138,1990249,1990249,1990250,@AmazonHelp mil gracias!! 😁,122,off_topic_chat,ood_candidate,66592,1.0,0.0,0.1334
GC-139,1990275,1990275,1990271,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,66598,0.6991,0.3009,0.0
GC-140,2049100,2049100,2049101,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,66955,0.7212,0.2788,0.0
GC-141,2111164,2111164,2111167,"@AmazonHelp Ok, will do. Cheers.",111,ack_willdo,merge_MG-02,67690,0.7167,0.2833,0.0041
GC-142,2124846,2124846,2124848,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,67962,0.7303,0.2697,0.0
GC-143,2128505,2128505,2128506,@AmazonHelp I filled it in yesterday as well,51,detail_provided,common_random,68027,1.0,0.0,0.2132
GC-144,2162449,2162449,2162450,@AmazonHelp No it's fine.... I just forgot to put the battery,77,product_question,rare_cluster,68913,1.0,0.0,0.3401
GC-145,2167783,2167783,2167784,@AmazonHelp I don’t know I think third party.,-1,noise,short_message,68994,0.0,0.984,0.0205
GC-146,2205516,2205516,2205514,@AmazonHelp They say it takes up to 12hrs for a reply,140,resolution_pending,rare_cluster,69793,1.0,0.0,0.213
GC-147,2226897,2226897,2226898,@AmazonHelp Order # 112-6272395-4288266,201,order_status,common_confident,70242,1.0,0.0,0.1869
GC-148,2236305,2236305,2236313,@AmazonHelp tell you that u have to wait for 3 days for this and when time is over they denied about refund,189,refund_request,common_confident,70386,1.0,0.2422,0.0829
GC-149,2238630,2238630,2238632,"@AmazonHelp Thanks for the quick reply! I did wonder if it was Black Friday, but just wanted to check in case the normal times for Prime had changed! Many thanks.",156,shipping_speed,split_c156,70477,0.957,0.5649,0.0002
GC-150,2266907,2266907,2266899,@AmazonHelp @115850 see again it happened.. I have not received my order and getting message that it's delivered.. And the contact number which I have got he have no clue where the product is. And customer service threatening to cancel the order again.. Thanku fr grt service,-1,noise,safety_sensitive,71017,0.0,0.9447,0.0285
GC-151,2281398,2281398,2281400,"@AmazonHelp Não sei, são tantos 😍 hahaha, mas amei o Kindle ❤",109,off_topic_chat,ood_candidate,71556,1.0,0.0,0.1086
GC-152,2289733,2289733,2289737,@AmazonHelp thaaaaaaaank u,122,off_topic_chat,common_confident,72009,1.0,0.2948,0.0907
GC-153,2290271,2290271,2290272,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,72066,0.2476,0.7524,0.0
GC-154,2290290,2290290,2290065,@AmazonHelp @AmazonHelp i have shared the details through the link..please look into that.,7,megacluster_unclear,split_cluster7,72068,1.0,0.1097,0.132
GC-155,2290900,2290900,1937605,@AmazonHelp But my issue is that i got all sorts of different responds from each representative,129,agent_escalation,rare_cluster,72172,1.0,0.0,0.1804
GC-156,2291345,2291345,2291343,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,72255,0.6761,0.3239,0.0
GC-157,2304066,2304066,2304067,@AmazonHelp I dm'ed you. Thanks!,14,detail_provided,common_boundary,72954,0.3502,0.714,0.0002
GC-158,2306201,2306201,2306202,@AmazonHelp Auf dem IPad,122,off_topic_chat,split_c122,73043,1.0,0.0,0.0003
GC-159,2322193,2322193,2322191,@AmazonHelp Dear team not respond Ur team..,29,cs_team_no_response,common_random,73885,0.4908,0.5092,0.1973
GC-160,2335507,2335507,2335509,@AmazonHelp Thank you,4,ack_thanks,contextual_turn,74001,0.6982,0.3018,0.0
GC-161,2383942,2383942,2383944,@AmazonHelp No I am an Amazon affiliate and I haven't been receiving any commissions since I joined. I feel sorry for myself that I joined.,7,megacluster_unclear,split_cluster7,75266,1.0,0.746,0.1306
GC-162,2390431,2390431,2390433,@AmazonHelp Me gustaría dar un paseo a lomos de un unicornio. 🦄,122,off_topic_chat,ood_candidate,75535,1.0,0.4031,0.0522
GC-163,2419920,2419920,2419921,@AmazonHelp just sent dm,14,detail_provided,ordinary_random,76423,0.8212,0.3292,0.3182
GC-164,2419928,2419928,2419931,@AmazonHelp Siiiim... Comprei vários ebooks... tô muito feliz... Hahahaha hahahaha,109,off_topic_chat,ood_candidate,76425,1.0,0.1215,0.2052
