sample_id,corpus_row,script,lenbin,customer_message_id,conversation_id,created_dt,text
N2-110,37083,latin_acc,short,919077,919079,2017-10-13 20:35:25+00:00,@AmazonHelp ¿No tienen un estimado por ahora? Aunque sea el mes. Muero poquito.
N2-111,37342,latin_plain,short,926330,926324,2017-10-14 06:05:40+00:00,@AmazonHelp Just checked and someone has updated it overnight
N2-112,37424,latin_plain,vshort,929181,929179,2017-10-23 16:22:52+00:00,@AmazonHelp I am still waiting for resolution on my case.
N2-113,38051,latin_plain,vshort,947271,947273,2017-11-26 05:10:41+00:00,@AmazonHelp Kindly chk I have pm u..
N2-114,38163,latin_plain,short,952554,952516,2017-10-23 13:55:43+00:00,@AmazonHelp @345987 But my DVD is still on my list of orders. Wtf?
N2-115,38252,latin_plain,short,955667,955661,2017-11-09 01:40:12+00:00,@AmazonHelp Thank you! But I can't find file/view claim anywhere? These are my only options. https://t.co/HHW6AayZYt
N2-116,38336,latin_plain,short,959294,959297,2017-10-26 13:14:25+00:00,@AmazonHelp Then what the support ur giving here without knowing anything.
N2-117,38445,latin_plain,vshort,964170,964171,2017-10-14 08:30:30+00:00,@AmazonHelp Sent already
N2-118,38601,latin_plain,short,965260,965261,2017-10-14 04:04:49+00:00,@AmazonHelp Thank you the issue has been addressed by your support associate. But pls fix these courier agencies.
N2-119,38651,latin_plain,vshort,967296,967298,2017-10-22 00:20:26+00:00,@AmazonHelp Obrigada!
N2-120,38823,latin_plain,mid,970506,970504,2017-10-23 05:24:14+00:00,"@AmazonHelp The number for the pick up store has been switched off since morning.. mind you, I dont have a phone right now.. Argh!!!"
N2-121,39282,latin_plain,mid,979611,979609,2017-10-16 07:12:51+00:00,@AmazonHelp Had not received any mail regarding my product and your team has not contacted me also. It is more than week that my order has not returned
N2-122,39337,latin_plain,mid,980230,980224,2017-10-22 06:16:04+00:00,@AmazonHelp Will i at least get compensated the overnight shipping fee that i paid since it didnt arrive within the original timeframe?
N2-123,39367,latin_plain,mid,980791,980792,2017-10-22 06:24:51+00:00,"@AmazonHelp I ordered one DSLR and asked for replacement due to fault in the lens, Pick up was scheduled for yesterday but no one showed up"
N2-124,39975,latin_plain,vshort,992864,992865,2017-10-14 11:07:26+00:00,@AmazonHelp Noted. Thank you !
N2-125,40144,latin_plain,vshort,998186,985209,2017-10-14 14:32:45+00:00,"@AmazonHelp R u comfortable with hinglish,hindi language?"
N2-126,40211,cjk,short,1001612,1001613,2017-10-12 07:43:43+00:00,@AmazonHelp @357113 아이고...그래도 아마존헬프가 나타나서 도와주네요 어찌 알고 온거지...ㅋ
N2-127,40290,latin_plain,short,1004610,1004608,2017-11-25 17:33:39+00:00,"@AmazonHelp Ok, thank you. Although none of this really answers my locker question."
N2-128,40622,latin_plain,vshort,1014844,1014848,2017-10-15 16:34:35+00:00,@AmazonHelp Please fix this junk asap!
N2-129,41157,latin_plain,vshort,1035522,1035532,2017-10-14 18:40:28+00:00,@AmazonHelp my right address and zipcode!
N2-130,41254,latin_acc,short,1041112,1041118,2017-10-28 12:39:25+00:00,@AmazonHelp Les he enviado un correo electrónico esta mañana. Tampoco me han hecho caso.
N2-131,41293,latin_plain,long,1041649,1041651,2017-11-21 01:00:47+00:00,"@AmazonHelp Se que son una excelente empresa, pero les falla en esto, en estas fechas es mejor o deshabilitar la opción de un día o de plano agregar una nota de que el pedido puede no llegar en la fecha promesa por la sobredemanda"
N2-132,41362,latin_acc,vshort,1042281,1042284,2017-10-23 09:03:11+00:00,@AmazonHelp Pas de raison mentionné dans le mail....
N2-133,41385,latin_plain,mid,1042361,1042363,2017-10-23 08:24:56+00:00,"@AmazonHelp When I visit that link, it shows return window closed :( this is the current status of the phone. https://t.co/KZCZFVAi3U"
N2-134,41592,latin_plain,vshort,1047184,1047185,2017-10-23 11:27:04+00:00,@AmazonHelp Share me mail address
N2-135,41778,latin_plain,mid,1054031,1054032,2017-10-14 21:02:38+00:00,@AmazonHelp So is there away for me to set up a default safe place without having to enter it every order? all that talks about is access codes
N2-136,41894,latin_acc,vshort,1058036,1058037,2017-10-23 14:35:37+00:00,@AmazonHelp ¡Gracias!
N2-137,41902,latin_plain,mid,1058060,1058045,2017-10-23 12:33:52+00:00,"@AmazonHelp ur r asking to reply to mail, which I have already done. what next??? when installation will happen????@115821 @115850"
N2-138,41916,latin_plain,short,1059289,1059292,2017-10-14 21:43:57+00:00,"@AmazonHelp Bonsoir, je ne pensais pas avoir la chance de trouver un tapis de bain pour seulement 0.01€."
N2-139,41937,latin_plain,mid,1060433,1060439,2017-10-23 13:07:23+00:00,"@AmazonHelp Yes. As if by magic, one appeared as you replied 😅 I initially thought it was phishing but I'm convinced it's genuinely you guys https://t.co/5PUNm2wLyc"
N2-140,42174,latin_plain,mid,1071106,1071108,2017-10-23 15:56:50+00:00,"@AmazonHelp but in d end they r not providing d product, they r not even trying to deliver d product .!! Help me to get rid of this.!!(3/3)"
N2-141,42540,latin_plain,vshort,1083239,1083235,2017-10-15 04:10:38+00:00,@AmazonHelp Both UPS https://t.co/x6rEAKVe6Q
N2-142,42800,latin_plain,short,1095845,1095846,2017-10-23 21:43:09+00:00,@AmazonHelp LOL you aren’t sorry because it happens repeatedly. #amzl_us seems to suck by design.
N2-143,44109,latin_plain,mid,1129293,1129299,2017-10-24 11:48:51+00:00,"@AmazonHelp Contacted support. Was told that I need to call AmznLogistics. Asked for refund so I can purchase elsewhere. Yes, CONSTANT probs w/ carrier"
N2-144,45054,latin_acc,short,1153790,1153792,2017-10-24 17:55:37+00:00,@AmazonHelp @391459 Pues acabo de pedirle un chisme de doscientos y pico pavos. Espero que no lo dejéis en el felpudo.
N2-145,45275,latin_plain,short,1165335,1165336,2017-10-15 19:37:51+00:00,@AmazonHelp Any plans to remove restrictions soon for this title? Other options to view?
N2-146,45481,latin_plain,short,1175598,1175594,2017-10-15 21:49:29+00:00,@AmazonHelp Fab! I have it on my phone and have watched a little. More tomorrow - thank you so much
N2-147,45599,latin_plain,mid,1179685,1179690,2017-10-24 22:42:43+00:00,@AmazonHelp I still didn't talk to anybody that had a clue what the Hub system was. Eventually they just gave up and marked it as lost.
N2-148,45631,latin_plain,short,1181625,1181626,2017-10-15 21:38:01+00:00,"@AmazonHelp And wah-lah! It worked. I had already tried 30 seconds like on a computer, but not longer. Thanks!"
N2-149,45716,latin_plain,mid,1187086,1187089,2017-10-24 23:48:07+00:00,@AmazonHelp I would like to know why with 2 weeks to go there is still no delivery date posted on my xbox one x scorpio edition.
N2-150,46038,latin_plain,vshort,1200551,1200552,2017-10-16 05:50:46+00:00,@AmazonHelp DNS address not found
N2-151,46067,latin_acc,mid,1201238,1201247,2017-10-25 13:04:42+00:00,@AmazonHelp c'est toujours marquer en transit alors que ça devrait être en cours de livraison du coup j'en déduit que je l'aurais demain !
N2-152,46843,latin_plain,short,1221819,1221823,2017-10-25 15:43:02+00:00,@AmazonHelp It is sold by Prime Deal and being delivered by UPS
N2-153,47050,latin_plain,short,1223728,1223735,2017-11-16 15:03:14+00:00,"@AmazonHelp No, I just can’t finish the process on this page, or skip it? https://t.co/hbeMkAFhY4"
N2-154,47200,latin_plain,vshort,1227982,1227984,2017-10-25 20:05:05+00:00,@AmazonHelp No need. Just a notification. Thanks
N2-155,47550,latin_plain,long,1240445,1240457,2017-11-14 11:56:34+00:00,"@AmazonHelp I haven’t filled the form in again as I cannot access the link because my password and email address has been changed again. I’m sorry to sound harsh, but I am answering the same questions I’ve answered 5 times now. I am choosing strong passwords too, nothing is working."
N2-156,48111,latin_plain,mid,1258274,1258271,2017-10-28 15:17:48+00:00,@AmazonHelp It’s of no use considering my previous experience. Once I returned a leather jacket which was never replaced.
N2-157,48191,latin_plain,short,1259917,1259920,2017-10-26 10:07:46+00:00,"@AmazonHelp So It was sold by you guys, came prime via ups 2 day. Came from I think Lexington, ky warehouse"
N2-158,48596,latin_plain,short,1266415,1266418,2017-10-26 12:49:36+00:00,@AmazonHelp Surely will do. If you just send over a #firestick 😂
