cluster_id,size,median_member_chars,url_share,ack_share,exact_dup_share,top_exact_texts,multilingual_flag,es_share,de_share,fr_share,hi_share
33,126,61.5,0.07936507936507936,0.0,0.0,"'@AmazonHelp Hi we seem to be several to experience the ""exceeded"" issue for Brig' (x1); '@AmazonHelp Thank you very much for the speedy reply! Is US site the same as the' (x1); '@AmazonHelp Also, not sure why I should give feedback in the UK if I live in the' (x1)",no,0.079,0.016,0.032,0.0
34,43,43.0,0.09302325581395349,0.0,0.0,"'@AmazonHelp It just arrived. Oh well' (x1); '@AmazonHelp It just arrived, safe and sound! Thank you very much for dealing wit' (x1); '@AmazonHelp It arrived just fine, it was a joke!' (x1)",no,0.07,0.023,0.023,0.0
35,69,125.0,0.028985507246376812,0.0,0.028985507246376812,"'@AmazonHelp That just takes me to my amazon account. Not helpful. Are the Bright' (x2); '@AmazonHelp Oh no!!! Thanks anyway. Wish me luck trying to get tickets on Friday' (x1); ""@AmazonHelp It says that if I only select one ticket! What's going on?"" (x1)",yes,0.159,0.014,0.0,0.0
36,59,117.0,0.01694915254237288,0.0,0.0,"""@AmazonHelp I'm UK based. Are the contact details the same?"" (x1); '@AmazonHelp Not able to contact you, getting calls from UK https://t.co/zoVPnr8Z' (x1); '@AmazonHelp I’m in UK - is call available?' (x1)",yes,0.169,0.0,0.017,0.0
37,69,103.0,0.043478260869565216,0.0,0.057971014492753624,'@AmazonHelp La poste' (x2); '@AmazonHelp La Poste' (x2); '@AmazonHelp con el soporte no hay problema siempre me atienden en español.en est' (x1),yes,0.406,0.188,0.246,0.0
38,50,140.0,0.1,0.0,0.0,"'@AmazonHelp you have wasted one month by bullsh****g me. now i am being told itv' (x1); '@AmazonHelp so after wasting more than 1.5 month, now you are telling me the pro' (x1); '@AmazonHelp same reply again and again. if the complaint is raised under warrant' (x1)",no,0.12,0.0,0.0,0.0
39,70,138.0,0.07142857142857142,0.0,0.0,"'@AmazonHelp Rebonsoir, pour vérifier que la Xbox one et la tablette Huawei sont ' (x1); '@AmazonHelp Si! Nomas el Xbox no llego pero estoy seguro que mañana cae' (x1); '@AmazonHelp Ordered an Xbox, dvy due today, wife waited in - at 1915 I called Cs' (x1)",yes,0.157,0.043,0.043,0.0
40,287,139.0,0.08362369337979095,0.0,0.0,"'@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 h' (x1); '@AmazonHelp Can you provide me the name or link of seller who is offering no emi' (x1); ""@AmazonHelp @115821 it's the South Park game on PS4 coming out next week. I actu"" (x1)",yes,0.233,0.07,0.164,0.0
41,79,38.0,0.0,0.0,0.0,"""@AmazonHelp Yeah I know how to check it. There's no information still"" (x1); '@AmazonHelp You can check it' (x1); '@AmazonHelp I’ll need to check and let you know' (x1)",no,0.013,0.0,0.025,0.0
42,648,106.0,0.05401234567901234,0.0,0.0,'@AmazonHelp Will you follow me on twitter' (x1); '@AmazonHelp why are you removimg @79087 from your tweets? I have official email ' (x1); '@AmazonHelp @115851 @115850 @115821 so the social media escalation team is equal' (x1),yes,0.165,0.034,0.082,0.0
43,61,139.0,0.03278688524590164,0.0,0.0,"'@AmazonHelp Thanks but I have tried that every day since Sunday. ""Still investig' (x1); '@AmazonHelp This is supposedly after investigating' (x1); '@AmazonHelp Just that the specialist team were investigating and this may take 4' (x1)",yes,0.23,0.0,0.18,0.0
44,80,111.0,0.1,0.0,0.0,"""@AmazonHelp I'm learning German, so I don't really mind between German/English. "" (x1); '@AmazonHelp Sim. Me parece que os produtos não estão no Brasil. 😭' (x1); '@AmazonHelp I’m in Germany and use the German site, tried buying it with my Phon' (x1)",yes,0.237,0.1,0.15,0.0
45,31,27.0,0.0,0.0,0.4838709677419355,"'@AmazonHelp Ok, thank you' (x4); '@AmazonHelp Okay. Thank you.' (x4); '@AmazonHelp ok thank you.' (x3)",no,0.0,0.0,0.032,0.0
46,50,129.0,0.06,0.0,0.0,"'@AmazonHelp I did not see any email. I only had to call again. Now I see it is r' (x1); '@AmazonHelp Your return pickup for 407-4463037-6609940 has been scheduled for 02' (x1); '@AmazonHelp so will the pickup, originally planned for today from 1-4 pm, actual' (x1)",no,0.14,0.0,0.0,0.0
47,63,119.0,0.015873015873015872,0.0,0.0,"'@AmazonHelp What ???? what now?..what next?..when will i get my ordered product ' (x1); '@AmazonHelp Fiz o meu pedido e até agora o status não mudou. Gostaria de saber s' (x1); ""@AmazonHelp Is there any status of my product, it's now more than 72 hours"" (x1)",no,0.127,0.0,0.0,0.0
48,33,146.0,0.12121212121212122,0.0,0.0,"""@AmazonHelp No email - the app just says “We’re sorry your package is late. We'r"" (x1); '@AmazonHelp Recieved an email saying my delivery is coming tonight but on my app' (x1); '@AmazonHelp Uy si, es cierto, gracias. Pues no, no he recibido ningún mensaje de' (x1)",yes,0.273,0.121,0.152,0.0
49,32,62.0,0.03125,0.0,0.0,"""@AmazonHelp there should be a limit of making fool. it's like WTF experience @11"" (x1); '@AmazonHelp You guys are plain foolish!' (x1); '@AmazonHelp Lies lies lies - why lie to people? Do you think we are stupid?' (x1)",no,0.0,0.0,0.0,0.0
50,378,78.0,0.023809523809523808,0.0,0.018518518518518517,'@AmazonHelp I have already filled the form.' (x3); '@AmazonHelp I have filled in the form.' (x2); '@AmazonHelp I filled the form' (x2),no,0.108,0.008,0.011,0.0
51,72,39.5,0.013888888888888888,0.0,0.027777777777777776,"'@AmazonHelp Already filled' (x2); '@AmazonHelp filled once already...' (x1); ""@AmazonHelp I've filled it out. Thank you."" (x1)",no,0.111,0.0,0.0,0.0
52,47,43.0,0.0,0.0,0.0,"'@AmazonHelp Okay, danke für die Info' (x1); '@AmazonHelp Así es, gracias por la información.' (x1); ""@AmazonHelp Ok, thanks for the info. That's helpful! Appreciate it!"" (x1)",yes,0.149,0.128,0.085,0.0
53,36,83.5,0.05555555555555555,0.0,0.0,"'@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been deli' (x1); ""@AmazonHelp The item doesn't appear on that page 😬"" (x1); '@AmazonHelp No error message- just a completely blank page.' (x1)",yes,0.222,0.028,0.139,0.0
54,48,33.0,0.0,0.0,0.16666666666666666,'@AmazonHelp Which link?' (x4); '@AmazonHelp which link' (x2); '@AmazonHelp Where is link' (x2),no,0.042,0.0,0.042,0.0
55,137,52.0,0.029197080291970802,0.0,0.029197080291970802,'@AmazonHelp Link doesn’t work' (x2); '@AmazonHelp Link is not working' (x2); '@AmazonHelp Link Not working' (x1),no,0.131,0.007,0.007,0.0
56,32,39.5,0.0,0.0,0.0625,'@AmazonHelp Thanks for the link' (x2); '@AmazonHelp Plz share link again' (x1); '@AmazonHelp Plz send me the link' (x1),no,0.0,0.0,0.0,0.0
57,78,62.5,0.0,0.0,0.0,"'@AmazonHelp Ya , i shared details on link' (x1); '@AmazonHelp Share the issue on the given link please have look' (x1); '@AmazonHelp I have submitted all details on given link.' (x1)",no,0.013,0.0,0.013,0.0
58,325,41.0,0.0,0.0,0.10153846153846154,'@AmazonHelp Details sent.' (x4); '@AmazonHelp Submitted' (x4); '@AmazonHelp Already shared' (x4),no,0.012,0.003,0.0,0.0
59,1097,59.0,0.9890610756608933,0.0,0.0,'@AmazonHelp Thanks for quick response. Pic attached. https://t.co/yNhYE638YS' (x1); '@AmazonHelp No response from Surya Flames https://t.co/4IFzwWDTFq' (x1); '@AmazonHelp Not that I can see https://t.co/c3atGuyoON' (x1),yes,0.119,0.047,0.083,0.0
60,126,75.5,0.5476190476190477,0.0,0.0,'@AmazonHelp Please find attached screenshot https://t.co/uivHzbY3JE' (x1); '@AmazonHelp Screenshot wurde vor 10 Minuten gemacht :) Danke für die schnelle Rü' (x1); '@AmazonHelp Dejo pantallazo https://t.co/hznJpkQVbg' (x1),yes,0.119,0.024,0.048,0.0
61,35,86.0,0.02857142857142857,0.0,0.0,"'@AmazonHelp Sorry, I fail to see how pointing me at your self help page is meant' (x1); '@AmazonHelp Managed to get through to someone who is on the case 👌🏼' (x1); '@AmazonHelp I have received the mail but still no positive reply now how many da' (x1)",no,0.143,0.0,0.0,0.0
62,39,96.0,0.10256410256410256,0.0,0.0,"'@AmazonHelp Yep, just awaiting for delivery today. Any chance of a £10 gift vouc' (x1); '@AmazonHelp Not good enough when I paid for it to be delivered today😡😡' (x1); '@AmazonHelp Will they delivery guy pay me the prepaid amount in cash?? Explain t' (x1)",no,0.077,0.0,0.051,0.0
63,122,37.0,0.00819672131147541,0.0,0.04918032786885246,"'@AmazonHelp Any other ideas?' (x2); '@AmazonHelp Non, comment faire ?' (x2); '@AmazonHelp Is there anything you can do to help?' (x2)",yes,0.107,0.016,0.189,0.0
64,139,109.0,0.02158273381294964,0.0,0.0,'@AmazonHelp I had replied almost as soon as you posted about the email and sent ' (x1); '@AmazonHelp Thanks. I wish the same degree of concern were shown about my compla' (x1); '@AmazonHelp Still no reply...my complaint is still pending' (x1),yes,0.173,0.014,0.022,0.0
65,62,37.5,0.03225806451612903,0.0,0.0,"'@AmazonHelp Am Ende hat alles geklappt, der Stick funktioniert auch größtenteils' (x1); '@AmazonHelp it’s working now! thanks though!' (x1); '@AmazonHelp It works now!' (x1)",no,0.032,0.016,0.0,0.0
66,73,122.0,0.136986301369863,0.0,0.0,"'@AmazonHelp When can I expect replacement with orginal Bose Speakers!' (x1); ""@AmazonHelp Don't tell stories! I need original speakers at any cost!"" (x1); '@AmazonHelp My brother ordered me earphones from his mobile. I got them. They ar' (x1)",yes,0.164,0.041,0.082,0.0
67,110,117.5,0.13636363636363635,0.0,0.0,"'@AmazonHelp For now, at least, until Prime Music starts shitting on its subscrib' (x1); '@AmazonHelp It’s not recognizing the name of the podcast (Slate Presents Lexicon' (x1); '@AmazonHelp I don’t seem to be able to play my Spotify playlists on Echo either ' (x1)",yes,0.173,0.164,0.045,0.0
68,140,132.0,0.11428571428571428,0.0,0.0,'@AmazonHelp Hey guys! Just downloaded the #Alexa app but unable to finish the se' (x1); '@AmazonHelp Yes. I use it daily. The connection is fine. Alexa can’t understand ' (x1); '@AmazonHelp I’m putting Alexa in timeout for this.' (x1),yes,0.107,0.129,0.007,0.0
69,137,131.0,0.072992700729927,0.0,0.0,'@AmazonHelp Nothing there helped me with the Echo Show' (x1); '@AmazonHelp Tried that. No joy. Original echo works. New echo plus works but add' (x1); '@AmazonHelp How do I check if prime music is working on my echo device?' (x1),no,0.088,0.036,0.007,0.0
70,394,51.0,0.012690355329949238,0.0,0.005076142131979695,"'@AmazonHelp Thanks @115821' (x2); '@AmazonHelp @120763 Hey, @120540, vacci piano!' (x1); '@AmazonHelp @120836 “Hope you are ok”' (x1)",yes,0.155,0.056,0.086,0.0
71,171,36.0,0.005847953216374269,0.0,0.023391812865497075,'@AmazonHelp 407-6976651-4029149 dt 9/9/17 Return reqst 16/9/17' (x2); '@AmazonHelp Oui c’est le: C10044824983' (x2); '@AmazonHelp Commande #404-0961552-4510731' (x1),yes,0.07,0.018,0.181,0.0
72,80,36.0,0.0,0.0,0.0,"""@AmazonHelp I'll try that; thanks."" (x1); '@AmazonHelp I’ll try that. Thank you for your help.' (x1); ""@AmazonHelp I'll give that a try, thank you!"" (x1)",no,0.075,0.05,0.013,0.0
73,44,38.0,0.0,0.0,0.045454545454545456,'@AmazonHelp I have replied.' (x2); '@AmazonHelp I have replied dozen of times first check then reply. So silly' (x1); '@AmazonHelp I have replied as well' (x1),no,0.023,0.0,0.0,0.0
74,47,56.0,0.0,0.0,0.0,"'@AmazonHelp You got feedback right there. Go work on it!' (x1); '@AmazonHelp Hi, yep left the feedback now. Thanks! 👌🤟🤟' (x1); '@AmazonHelp Please give me feedback asap' (x1)",no,0.021,0.064,0.0,0.0
75,132,43.0,0.0,0.0,0.030303030303030304,'@AmazonHelp No response' (x4); '@AmazonHelp Still not got any answer' (x1); '@AmazonHelp why no response from your side?' (x1),yes,0.47,0.015,0.038,0.0
76,33,58.0,0.0,0.0,0.0,"'@AmazonHelp Not trying to cause a fuss. Just putting it out there for future ref' (x1); '@AmazonHelp Since yesterday you guys are telling that you’ll get back instantly.' (x1); ""@AmazonHelp Merci du retour, c'est fait !"" (x1)",yes,0.03,0.03,0.121,0.0
77,49,137.0,0.04081632653061224,0.0,0.0,"'@AmazonHelp 1. Does it work without being plugged in to power? 2. If yes, what i' (x1); '@AmazonHelp Your customer support told me it has battery!' (x1); ""@AmazonHelp I'm currently speaking with duracell as I think they are counterfeit"" (x1)",yes,0.204,0.041,0.082,0.0
78,122,40.0,0.00819672131147541,0.0,0.040983606557377046,'@AmazonHelp Many times' (x3); '@AmazonHelp Yes. Multiple times.' (x2); '@AmazonHelp Yup and this is the third time' (x1),no,0.066,0.016,0.041,0.0
79,31,98.0,0.0,0.0,0.0,"'@AmazonHelp I wuld lyk 2 knw jus 1 simpl&amp; straight answer. Hw mny times u pp' (x1); ""@AmazonHelp U only email me that we vl solve ur problem but still it's not.. u r"" (x1); '@AmazonHelp @115851 and wat info you want, ask here. 3 months and u r still not ' (x1)",yes,0.194,0.0,0.0,0.0
80,36,83.5,0.08333333333333333,0.0,0.1111111111111111,"'@AmazonHelp Galaxy S7' (x2); '@AmazonHelp Samsung galaxy s7' (x2); '@AmazonHelp Certo, é il Samsung A3 2017' (x1)",yes,0.083,0.056,0.139,0.0
81,34,93.0,0.08823529411764706,0.0,0.058823529411764705,'@AmazonHelp Jaya janaki nayaka full movie upload bro' (x2); '@AmazonHelp @144291 Why is raja the Great movie is not in home Screen i found it' (x1); '@AmazonHelp The link u ve sent is different-M afilm maker &amp;wnt to get in tou' (x1),no,0.088,0.0,0.0,0.0
82,46,121.5,0.13043478260869565,0.0,0.0,"'@AmazonHelp Tritt bei mir zum Beispiel bei Conjuring auf, der aktuell via Prime ' (x1); ""@AmazonHelp Subtitles aren't working again"" (x1); ""@AmazonHelp I've turned on the subtitle option to English. It comes Subtitles ar"" (x1)",yes,0.152,0.022,0.0,0.0
83,89,104.0,0.011235955056179775,0.0,0.0,"'@AmazonHelp Not really much help are you, I am well aware of that. But you are r' (x1); '@AmazonHelp ""You must have received "" should have been ""You would have"".. Must i' (x1); '@AmazonHelp È facile dire mi dispiace' (x1)",yes,0.124,0.011,0.034,0.0
84,40,114.5,0.025,0.0,0.0,"'@AmazonHelp Still I hate you guys for the false advertising that it will be here' (x1); '@AmazonHelp Hmmmm, not sure that matches your advertising or the impression that' (x1); '@AmazonHelp Mention this thing on your advertisements so that people are not che' (x1)",no,0.025,0.075,0.0,0.0
85,175,27.0,0.0,0.0,0.3657142857142857,'@AmazonHelp Done. Thank you.' (x7); '@AmazonHelp Done. Thank you!' (x6); '@AmazonHelp Done. Thanks.' (x5),no,0.0,0.011,0.0,0.0
86,33,37.0,0.0,0.0,0.12121212121212122,"'@AmazonHelp Not received anything' (x2); ""@AmazonHelp Didn't receive any"" (x2); ""@AmazonHelp Haven't received anything!"" (x1)",yes,0.182,0.03,0.0,0.0
87,34,25.0,0.0,0.0,0.5294117647058824,'@AmazonHelp Already done' (x10); '@AmazonHelp Already done.' (x4); '@AmazonHelp Done already' (x4),no,0.0,0.0,0.0,0.0
88,32,45.5,0.0,0.0,0.0,'@AmazonHelp Isue is still unresolved..' (x1); '@AmazonHelp Still the problem is there' (x1); '@AmazonHelp Look into this issue and get it solved by now itself because its bee' (x1),yes,0.219,0.0,0.031,0.0
89,319,58.0,0.009404388714733543,0.0,0.006269592476489028,"'@AmazonHelp Issue resolved. Thanks.' (x2); '@AmazonHelp Solved, Thank You' (x1); '@AmazonHelp thnx, matter resolved.' (x1)",no,0.053,0.016,0.019,0.0
90,34,148.0,0.11764705882352941,0.0,0.0,"'@AmazonHelp Hi PJ. I ordered a laptop from a 3rd party seller. They sent the rig' (x1); '@AmazonHelp Otra pregunta. Compré una Laptop también importada pero como después' (x1); ""@AmazonHelp Laptop arrived. Defective. Top of the range @153825 laptop that I've"" (x1)",yes,0.118,0.059,0.0,0.0
91,55,32.0,0.0,0.0,0.18181818181818182,'@AmazonHelp I have done that' (x4); '@AmazonHelp I have already done that' (x2); '@AmazonHelp I did that already' (x2),no,0.0,0.018,0.0,0.0
92,101,29.0,0.0,0.0,0.1782178217821782,'@AmazonHelp Yes I did.' (x4); '@AmazonHelp Yes i did' (x3); '@AmazonHelp Just did' (x3),no,0.0,0.01,0.0,0.0
93,32,23.0,0.0,0.0,0.59375,"'@AmazonHelp Yes I have' (x8); '@AmazonHelp Yes, I have.' (x4); '@AmazonHelp yes I have' (x4)",no,0.031,0.0,0.0,0.0
94,130,115.5,0.1,0.0,0.0,"'@AmazonHelp I’m trying off my fire stick' (x1); ""@AmazonHelp Thanks again for your reply. Fire TV won't show up in mirroring on m"" (x1); '@AmazonHelp No im just seeing this on the firestick. I can play content on the m' (x1)",yes,0.069,0.069,0.031,0.0
95,32,37.5,0.0,0.0,0.0,'@AmazonHelp See after getting amount it happens that eveyone become unable in as' (x1); '@AmazonHelp They don’t help me!' (x1); '@AmazonHelp But that is not helpful' (x1),no,0.062,0.0,0.031,0.0
96,46,120.5,0.043478260869565216,0.0,0.0,"'@AmazonHelp C\'est étrange car au début c\'est écrit : ""Nous sommes ravis de vous ' (x1); '@AmazonHelp It is the Amazon video app built into the TV.' (x1); '@AmazonHelp I can get to the point where I have the code specific to Amazon but ' (x1)",yes,0.196,0.087,0.087,0.0
97,42,31.0,0.0,0.0,0.0,'@AmazonHelp It’s not working!!' (x1); '@AmazonHelp Says non compatible' (x1); '@AmazonHelp Yes it still doesnt work' (x1),no,0.071,0.024,0.048,0.0
98,37,52.0,0.02702702702702703,0.0,0.0,"'@AmazonHelp I already tried this. It was denied.' (x1); '@AmazonHelp Yup, I’ve tried all of that, still no luck.' (x1); '@AmazonHelp Would put error when try too' (x1)",yes,0.243,0.0,0.0,0.0
99,41,122.0,0.04878048780487805,0.0,0.0,"'@AmazonHelp Funcionáis mejor que Netflix, con un peering mejor y American Gods e' (x1); '@AmazonHelp Seems kinda pointless seen as Netflix is working fine and dandy on m' (x1); '@AmazonHelp And when I click on the Netflix app... https://t.co/MM3JmpHBgS' (x1)",yes,0.073,0.122,0.024,0.0
100,66,118.0,0.07575757575757576,0.0,0.0,"'@AmazonHelp is the prime video app available for Android devices' (x1); ""@AmazonHelp no, it's the main US version, and I'm accessing prime video on my Ro"" (x1); '@AmazonHelp Yes 3 times. I followed the PS advise of running the system in safe ' (x1)",yes,0.227,0.076,0.045,0.0
101,213,96.0,0.07981220657276995,0.0,0.0,"'@AmazonHelp DAMN IPHONE WITH THE BROKEN I' (x1); '@AmazonHelp Mac, PC, iPhone, iPad, alle Plattformen.' (x1); ""@AmazonHelp I'm on an iPhone 7 plus. I just noticed it with that track. The artw"" (x1)",yes,0.131,0.023,0.052,0.0
102,542,104.0,0.07749077490774908,0.0,0.0,"""@AmazonHelp when its removed the system says it's inserted but unrecognized. Whe"" (x1); '@AmazonHelp Würde das funktionieren, wenn ich mein Konto auflade? Da gibts ja di' (x1); '@AmazonHelp No I did not. And the first I knew of it being refused is when I che' (x1)",yes,0.135,0.07,0.03,0.0
