cluster_id,cluster_size,preliminary_label,customer_goal,confidence,coherent,possible_parent_intent,kind,family_key,exact_dup_share,median_member_chars,url_share,multilingual_flag,merge_candidates,split_candidates,reasoning,representative_examples
33,126,Region / marketplace mismatch (UK / US / DE link or availability),Get the correct marketplace/link for the customer's country or clarify regional availability.,medium,yes,Shopping & catalogue,intent,region_mismatch,0.0,61.5,0.079,no,,,"Medium confidence. Family: Region / marketplace mismatch (UK / US / DE link or availability). Signials: size=126, dup=0.0, url_share=0.0793650793650793.","@AmazonHelp Hermes UK. ;; @AmazonHelp I’m in the Uk, is this only available in the US? ;; @AmazonHelp Also, not sure why I should give feedback in the UK if I live in the US. ;)"
34,43,Item has arrived (resolution acknowledgment),Confirm the package/item has now arrived; closing the thread.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.0,43.0,0.093,no,,,"High confidence. Family: Item has arrived (resolution acknowledgment). Signials: size=43, dup=0.0, url_share=0.0930232558139534.","@AmazonHelp Just arrived so no need anymore i guess ;; @AmazonHelp It arrived! 😀👷‍♂️ ;; @AmazonHelp It just arrived, safe and sound! Thank you very much for dealing with that."
35,69,"Ticket / contact form limitations (closed, no reply option)",Work around a closed ticket or contact form that blocks further replies.,high,yes,Verification / information flow,intent,link_issue,0.029,125.0,0.029,yes,,,"High confidence. Family: Ticket / contact form limitations (closed, no reply option). Signials: size=69, dup=0.0289855072463768, url_share=0.0289855072463768.","@AmazonHelp Seems that ticket has been closed! No option to reply on that page. ;; @AmazonHelp Really? A contact form? This has been a terrible waste of time. Entitled to 2 tickets, can’t buy 2 tickets. What’s going wrong? ;; @AmazonHelp It says that if I only select one ticket! What's going on?"
36,59,How to reach support (phone number / chat option / email),Find a working contact channel or a locale-appropriate channel.,high,yes,Contacting support,intent,contact_channel,0.0,117.0,0.017,yes,,,"High confidence. Family: How to reach support (phone number / chat option / email). Signials: size=59, dup=0.0, url_share=0.0169491525423728.","@AmazonHelp The form/link I was sent was my details for somebody to call me back, I’ve never given my email. Is there a number for a call centre in England I ca ;; @AmazonHelp I will call tomorrow however I’m based in the UK ;; @AmazonHelp I can't remember my password so cant use your link. I'll DM my phone number if I can get a call from a UK based member of staff"
37,69,Regional (ES/FR) delivery & support quality complaints,UNCERTAIN - Spanish/French-locale texts mixing delivery complaints and support-quality complaints.,medium,uncertain,Agent / support experience,intent,complaint_service_quality,0.058,103.0,0.043,yes,,,"Medium confidence. Family: Regional (ES/FR) delivery & support quality complaints. Signials: size=69, dup=0.0579710144927536, url_share=0.0434782608695652.","@AmazonHelp El SAT en España es lamentable ;; @AmazonHelp Hablamos de Sevilla capital... ;; @AmazonHelp Livraison en point relais, à la boulangerie Richter sur Montpellier"
38,50,Defective / broken / failing product (incl. warranty),"Get a defective product fixed, replaced or refunded (incl. warranty claims).",high,yes,Products & defects,intent,product_defect,0.0,140.0,0.1,no,,,"High confidence. Family: Defective / broken / failing product (incl. warranty). Signials: size=50, dup=0.0, url_share=0.1.",@AmazonHelp Until I have an order i.d I can't speak to you. I want to jnow the warranty details of a product ;; @AmazonHelp I bought a mixer grinder and it started sparking after 1 mnth.. it is in wrnty and the seller refused to give warranty service &amp; misbehaved. ;; @AmazonHelp you have wasted one month by bullsh****g me. now i am being told itvis out of warranty. issue is reported yo @79087 under warranty.
39,70,"Pre-order release date issues (games, consoles, media)",Get clarity on pre-order release date/delivery or the associated bonus/edition.,high,yes,Products & defects,intent,preorder,0.0,138.0,0.071,yes,,,"High confidence. Family: Pre-order release date issues (games, consoles, media). Signials: size=70, dup=0.0, url_share=0.0714285714285714.","@AmazonHelp Spoke to yr CS team who helped as much as poss although cld not change my Xbox OneX delivery address! Still feel angry at being lied to tho ;; @AmazonHelp Obviously regarding an Xbox One X order, however your team has told me that it's a problem with royal mail. I called them and asked if they had any  ;; @AmazonHelp The attached picture isn't correct according to customer support and they don't know when my dad or I will receive our Xbox One X's. https://t.co/W7"
40,287,"Pre-order release date issues (games, consoles, media)",Get clarity on pre-order release date/delivery or the associated bonus/edition.,high,yes,Products & defects,intent,preorder,0.0,139.0,0.084,yes,,,"High confidence. Family: Pre-order release date issues (games, consoles, media). Signials: size=287, dup=0.0, url_share=0.0836236933797909.","@AmazonHelp This is not the first time it happened. Paid full price for a game from the UK that has a region locked code. How is this okay? ;; @AmazonHelp As part of a pre-order, I was supposed to receive 3 free games. I’ve got just one so far. ;; @AmazonHelp Managed to get one on there now but with a different game for the same price :)"
41,79,Asking support to check / verify current status,Have support look up and confirm the current state of an order/case/account.,medium,yes,Support progress: waiting / nudge,contextual,status_update_request,0.0,38.0,0.0,no,MG-09,,"Medium confidence. Family: Asking support to check / verify current status. Signials: size=79, dup=0.0, url_share=0.0.",@AmazonHelp Now check it. ;; @AmazonHelp You can check it ;; @AmazonHelp Ouï mais vérifiez quoi ?
42,648,Ambiguous thread follow-up (re.: what was already said / done),Continue or clarify an earlier statement in the thread; intent needs surrounding context.,low,uncertain,Context-dependent / unclear,contextual,transitional,0.0,106.0,0.054,yes,,42,"Low confidence. Family: Ambiguous thread follow-up (re.: what was already said / done). Signials: size=648, dup=0.0, url_share=0.0540123456790123.","@AmazonHelp I already talked to customer service which is why I ultimately deleted the tweet, though I didn't find out when I might actually get my package, and ;; @AmazonHelp Missed your tweet before I switched off. Will get the timestamp for you tomorrow. ;; @AmazonHelp Je croyais qu'il fallait le signaler ici , c'est pour ça que je vous ai fait un tweet, vous ne pouvez pas le faire remonter si je vous donne le numé"
43,61,"Awaiting resolution outcome / case progress (investigation, complaint, case)",Get a concrete resolution or progress update on an open case/complaint/investigation.,high,yes,Support progress: waiting / nudge,intent,resolution_pending,0.0,139.0,0.033,yes,,,"High confidence. Family: Awaiting resolution outcome / case progress (investigation, complaint, case). Signials: size=61, dup=0.0, url_share=0.0327868852459016.","@AmazonHelp No nothing except confirmation that an investigation is going on... it’s month end.. all bill payments/payments for school trips/reminders were set  ;; @AmazonHelp non juste qu'une enquête est en cours et qu'il faut attendre jusqu'au 4 décembre ;; @AmazonHelp Thanks but I have tried that every day since Sunday. ""Still investigating"" - you should send a replacement and investigate afterwards"
44,80,Region / marketplace mismatch (UK / US / DE link or availability),Get the correct marketplace/link for the customer's country or clarify regional availability.,medium,yes,Shopping & catalogue,intent,region_mismatch,0.0,111.0,0.1,yes,,,"Medium confidence. Family: Region / marketplace mismatch (UK / US / DE link or availability). Signials: size=80, dup=0.0, url_share=0.1.","@AmazonHelp Is there a link for Germany as well ? ;; @AmazonHelp Und FYI „Berlin ist groß“ zieht hier nicht. Hinter dem Berlin, Deutschland“ liegen gps Daten. Siehe Bilder im Tweet auf den du geantwortet hast. Wil ;; @AmazonHelp And it's the German marketplace I'm inquiring about FYI"
45,31,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.484,27.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=31, dup=0.4838709677419355, url_share=0.0.",@AmazonHelp Okay thank you. ;; @AmazonHelp Alright. Thank you TP. ;; @AmazonHelp Okay thank you.
46,50,"Return / return pickup process issues (scheduling, windows)","Complete a return: arrange or fix pickup, label, or drop-off.",high,yes,Orders & fulfilment,intent,return_process,0.0,129.0,0.06,no,,,"High confidence. Family: Return / return pickup process issues (scheduling, windows). Signials: size=50, dup=0.0, url_share=0.06.","@AmazonHelp guys it is so sad that still the return pickup is not done for more than 20 days since scheduled?? isn't there anyone at @115850 who listens please  ;; @AmazonHelp Just got a msg that pickup has been rescheduled for tomorrow. Will get back to you for any help if required Thank You. ;; @AmazonHelp Have done so. The return pickup is scheduled for next Tue as that is the earliest available time slot.,sfter which I have to reorder! #fail"
47,63,Asking for delivery / dispatch date or estimate window,Learn the expected or promised delivery/dispatch date.,medium,yes,Delivery & shipping,intent,delivery_estimate,0.0,119.0,0.016,no,,,"Medium confidence. Family: Asking for delivery / dispatch date or estimate window. Signials: size=63, dup=0.0, url_share=0.0158730158730158.",@AmazonHelp I m not sure product will be delivered today or not. Let see what is going to happen your agent will come with same old story or new story ;; @AmazonHelp Am i getting my product delivered today? ;; @AmazonHelp Well. Then you are kindly requested to expedite the process and arrange to get the product delivered as early as possible!
48,33,Delivery delayed / expected window passed,"Understand why delivery is late and get a new, reliable arrival time.",high,yes,Delivery & shipping,intent,delivery_delay,0.0,146.0,0.121,yes,,,"High confidence. Family: Delivery delayed / expected window passed. Signials: size=33, dup=0.0, url_share=0.1212121212121212.","@AmazonHelp Solicite mi producto el dia de ayer para entrega garantizada el dia de hoy segun su app, hable a servicio a clientes a las 5 y me dijeron que estaba ;; @AmazonHelp Nope, app says will be delivered tomorrow but is delayed and to follow instructions on attempted delivery notice- which I didn't get ;; @AmazonHelp It's ok I'll wait till tomorrow. I'd be more concerned about the app showing an item ""arriving"" in the past while it has not shipped yet 😂"
49,32,Frustration / anger with little or no actionable request,Vent frustration or insult support; a concrete solvable request is absent from the reps.,high,yes,Sentiment / venting (not a customer goal),sentiment,negative_frustration,0.0,62.0,0.031,no,,,"High confidence. Family: Frustration / anger with little or no actionable request. Signials: size=32, dup=0.0, url_share=0.03125.","@AmazonHelp Nothing is there Stop fooling us You should response ;; @AmazonHelp Why are you here. To mislead the people, or make the people fool. ;; @AmazonHelp Don't you guys get tired of spreading the same lie again n again"
50,378,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.019,78.0,0.024,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=378, dup=0.0185185185185185, url_share=0.0238095238095238.",@AmazonHelp I've filled the form. Now sort out my problem asap. ;; @AmazonHelp I have already filled the form. It hasn't helped me much. ;; @AmazonHelp i am ok with the information have filled the form please call asap now and solve this matter
