noise_sample_pos,hdbscan_cluster,customer_message_id,conversation_id,created_dt,text,embedding_input,bucket
4679,-1,226067,226068,2017-10-05 07:11:16+00:00,"@AmazonHelp La verdad es que internamente sí, pero estaba recién levantado y con cara de zombie 😂😂","La verdad es que internamente sí, pero estaba recién levantado y con cara de zombie 😂😂",offtopic_social
5164,-1,237771,179526,2017-10-10 13:56:22+00:00,@AmazonHelp You have taken my details twice..why no call yet?,You have taken my details twice..why no call yet?,fits_cluster_theme
5229,-1,239015,239023,2017-10-04 09:58:56+00:00,"@AmazonHelp Tried dat also bt nt gettin ny positive response. Saying will attmpt pickup 6 PM today evening. If not done so, have to go to consumer court","Tried dat also bt nt gettin ny positive response. Saying will attmpt pickup 6 PM today evening. If not done so, have to go to consumer court",fits_cluster_theme
5697,-1,259947,259944,2017-10-05 21:42:38+00:00,@AmazonHelp This is an idiotic company called Apple. Teach them a lesson they will forget to remember at their disaster time.,This is an idiotic company called Apple. Teach them a lesson they will forget to remember at their disaster time.,offtopic_social
5957,-1,274102,274110,2017-10-12 17:12:38+00:00,"@AmazonHelp Have already replied to email, please refer to the pic for reference https://t.co/w6bZ47u3RS","Have already replied to email, please refer to the pic for reference https://t.co/w6bZ47u3RS",fits_cluster_theme
6078,-1,277205,277209,2017-10-14 13:35:35+00:00,@AmazonHelp WOULD HELP IF U COULD SELWCT THE ITEMS!!! I HAVE HAD NOTHING BUT PROBLEMS WITH AMAZION!!!!!,WOULD HELP IF U COULD SELWCT THE ITEMS!!! I HAVE HAD NOTHING BUT PROBLEMS WITH AMAZION!!!!!,fits_cluster_theme
6140,-1,279215,279218,2017-10-06 11:15:07+00:00,@AmazonHelp take your product back and refund my amount.,take your product back and refund my amount.,fits_cluster_theme
6338,-1,283083,283084,2017-10-06 12:58:40+00:00,@AmazonHelp How about you answer my question and help me get my order and get rid of your app from my phone?,How about you answer my question and help me get my order and get rid of your app from my phone?,fits_cluster_theme
6619,-1,292356,292357,2017-10-08 05:11:28+00:00,@AmazonHelp Told all the issues to your agent and he was like sorry I can't do anything for wrongly fooling me by not crediting the promotional balance,Told all the issues to your agent and he was like sorry I can't do anything for wrongly fooling me by not crediting the promotional balance,fits_cluster_theme
6698,-1,294812,294789,2017-10-09 10:19:42+00:00,@AmazonHelp yes plz assist,yes plz assist,thread_turn
6717,-1,295270,295273,2017-09-23 10:27:40+00:00,@AmazonHelp Also ur CS agent mentnd- delivery boy usually tick orders in d morning itself.. Isn't it unethical?hw cn 1 do this before delivering d ordr?,Also ur CS agent mentnd- delivery boy usually tick orders in d morning itself.. Isn't it unethical?hw cn 1 do this before delivering d ordr?,fits_cluster_theme
7185,-1,315003,314984,2017-10-23 12:23:54+00:00,"@AmazonHelp 1.AS YOU SUGGESTED BEFORE I HAVE CONTACTED MANUFACTURER 15 DAYS BACK BUT HE IS TELLING HE IS NOT RESPONSIBLE, WHICH I HAVE BOUGHT TO YOUR","1.AS YOU SUGGESTED BEFORE I HAVE CONTACTED MANUFACTURER 15 DAYS BACK BUT HE IS TELLING HE IS NOT RESPONSIBLE, WHICH I HAVE BOUGHT TO YOUR",fits_cluster_theme
7296,-1,318247,318248,2017-10-07 10:23:51+00:00,"@AmazonHelp J'ai rien choisi, juste Livraison en un jour ouvré Sur tous les autres colis que j'ai reçu ces derniers jours, c'est le seul non emballé","J'ai rien choisi, juste Livraison en un jour ouvré Sur tous les autres colis que j'ai reçu ces derniers jours, c'est le seul non emballé",fits_cluster_theme
8180,-1,348801,348791,2017-10-10 03:19:30+00:00,"@AmazonHelp Even that person stopped replying and again the same message ""we attempted delivery"" one of the most pathetic experience till date.","Even that person stopped replying and again the same message ""we attempted delivery"" one of the most pathetic experience till date.",fits_cluster_theme
9065,-1,382915,382916,2017-10-21 16:57:00+00:00,@AmazonHelp Sorry it seemed to be some glitch when I use the back button on the app while looking at various shipping options,Sorry it seemed to be some glitch when I use the back button on the app while looking at various shipping options,fits_cluster_theme
9144,-1,384761,384767,2017-10-09 11:44:10+00:00,"@AmazonHelp Gli articoli sono stati spediti da amazon, adesso pomeriggio che mi arrivino anche se è improbabile perché sailpost viene solo la mattina","Gli articoli sono stati spediti da amazon, adesso pomeriggio che mi arrivino anche se è improbabile perché sailpost viene solo la mattina",fits_cluster_theme
9150,-1,384816,384779,2017-10-09 12:11:06+00:00,@AmazonHelp @207107 She meant sab mile hue hain...:p :p Lol..,@207107 She meant sab mile hue hain...:p :p Lol..,offtopic_social
9363,-1,391210,390751,2017-10-09 16:17:58+00:00,"@AmazonHelp Il m'a été envoyé par ""SAS AU DELA DU DÉCOR""","Il m'a été envoyé par ""SAS AU DELA DU DÉCOR""",fits_cluster_theme
10016,-1,422705,422703,2017-10-16 16:25:07+00:00,@AmazonHelp still issue is not resolved !,still issue is not resolved !,fits_cluster_theme
10189,-1,427043,427044,2017-10-10 19:38:50+00:00,@AmazonHelp Appalling?? it has been a nightmare with your transportation guys lately. filled the details in the link. But I have lost hope.,Appalling?? it has been a nightmare with your transportation guys lately. filled the details in the link. But I have lost hope.,fits_cluster_theme
10463,-1,435642,435661,2017-10-10 18:05:35+00:00,@AmazonHelp Les informo q son las 20h yno herecibido nada.Solicito el reenvio dl producto conotra CIA dtransporte yse cancele el envio con @137605,Les informo q son las 20h yno herecibido nada.Solicito el reenvio dl producto conotra CIA dtransporte yse cancele el envio con @137605,fits_cluster_theme
10484,-1,436251,436252,2017-10-10 17:14:37+00:00,@AmazonHelp Das Problem ist ich komme da nicht hin... Und den ihr online kack zum neu zustellen ect klappt alles irgendwie nicht,Das Problem ist ich komme da nicht hin... Und den ihr online kack zum neu zustellen ect klappt alles irgendwie nicht,fits_cluster_theme
10659,-1,439743,439746,2017-10-11 10:13:35+00:00,@AmazonHelp My no is 9884013570 and my email id is janu __email__. I am not able to track the error you can contact on the above ids,My no is 9884013570 and my email id is janu __email__. I am not able to track the error you can contact on the above ids,fits_cluster_theme
10708,-1,440237,440270,2017-10-24 11:47:26+00:00,@AmazonHelp Hw much more tym? Do u ppl need 2 consult @1840 on ds?,Hw much more tym? Do u ppl need 2 consult @1840 on ds?,fits_cluster_theme
11215,-1,458964,458972,2017-12-01 01:23:43+00:00,@AmazonHelp Suppose to receive today.,Suppose to receive today.,fits_cluster_theme
12601,-1,518782,518783,2017-12-02 02:19:00+00:00,@AmazonHelp No updates from either of you. I only discovered the delay when I noticed the package hadn’t arrived and I checked the app.,No updates from either of you. I only discovered the delay when I noticed the package hadn’t arrived and I checked the app.,fits_cluster_theme
13031,-1,536500,536505,2017-12-02 17:30:40+00:00,"@AmazonHelp Eu acho a maneira dela ver as coisas linda, muito perspicaz, inteligente, bondosa e luta ate o fim pelo que acredita nao perdendo a essencia e a delicadeza...Ainda to na pagina 86 da Pedra filosofal 😍😍😍😍😍","Eu acho a maneira dela ver as coisas linda, muito perspicaz, inteligente, bondosa e luta ate o fim pelo que acredita nao perdendo a essencia e a delicadeza...Ainda to na pagina 86 da Pedra filosofal 😍😍😍😍😍",offtopic_social
13730,-1,579103,579107,2017-12-03 11:04:27+00:00,@AmazonHelp il pane e qualche birretta ehhh poi se il Milan vince siamo a posto. 👍🏻😁,il pane e qualche birretta ehhh poi se il Milan vince siamo a posto. 👍🏻😁,offtopic_social
13826,-1,584586,584584,2017-12-03 15:58:36+00:00,@AmazonHelp Only once when advised that product had gone missing. How a 14kg bag of dog food goes missing I've no idea,Only once when advised that product had gone missing. How a 14kg bag of dog food goes missing I've no idea,fits_cluster_theme
13934,-1,590778,590779,2017-12-03 17:52:36+00:00,@AmazonHelp I’ve done that three times. You’ve replaced the shipment but used the same awful Calgary shipping company.,I’ve done that three times. You’ve replaced the shipment but used the same awful Calgary shipping company.,fits_cluster_theme
14110,-1,601298,601301,2017-12-03 21:47:10+00:00,@AmazonHelp It was due by the 29th but it was apparently out for delivery 27th nov. I've been told to wait until the 5th and then you can issue a refund. I do not want a refund as I need this product and it is now more expensive than when I ordered. It would leave me out of pocket!!,It was due by the 29th but it was apparently out for delivery 27th nov. I've been told to wait until the 5th and then you can issue a refund. I do not want a refund as I need this product and it is now more expensive than when I ordered. It would leave me out of pocket!!,fits_cluster_theme
14328,-1,613947,613948,2017-11-25 06:43:04+00:00,@AmazonHelp 405-0924683-7120310 une commande qui hier apparaissait livraison avant 20h et aujourd'hui livraison entre le 25 et 27,405-0924683-7120310 une commande qui hier apparaissait livraison avant 20h et aujourd'hui livraison entre le 25 et 27,fits_cluster_theme
14373,-1,619134,619139,2017-11-22 14:49:45+00:00,"@AmazonHelp La fecha inicial la habéis cambiado, y además no me parece útil hacer una compra de productos básicos que tarda más de una semana en llegar","La fecha inicial la habéis cambiado, y además no me parece útil hacer una compra de productos básicos que tarda más de una semana en llegar",fits_cluster_theme
14392,-1,619933,140023,2017-11-22 17:15:13+00:00,@AmazonHelp There's nothing i can do with your Apologies. Just need you to give me the explainations of #CustomerMisgudance #FraudOffers The money of me and other customers you kept with you for these 15 days. How u'll explain the #DTDC track number and tracking info?,There's nothing i can do with your Apologies. Just need you to give me the explainations of #CustomerMisgudance #FraudOffers The money of me and other customers you kept with you for these 15 days. How u'll explain the #DTDC track number and tracking info?,fits_cluster_theme
14446,-1,626861,626864,2017-10-23 14:28:01+00:00,"@AmazonHelp And that is what i stated initially, technically you are right. But your differentiation went for a big toss &amp; so did your CS supp too","And that is what i stated initially, technically you are right. But your differentiation went for a big toss & so did your CS supp too",fits_cluster_theme
14628,-1,637293,637295,2017-11-22 18:59:16+00:00,"@AmazonHelp Yes i have!! Ive already said this to an amazon colleague on facebook but no one is replying now, this is ridiculous!!","Yes i have!! Ive already said this to an amazon colleague on facebook but no one is replying now, this is ridiculous!!",fits_cluster_theme
14935,-1,654276,654277,2017-11-22 22:26:11+00:00,@AmazonHelp arrange a call back on 850604122 ASAP. i need to locate my order. i have been trying this since 3 days.,arrange a call back on 850604122 ASAP. i need to locate my order. i have been trying this since 3 days.,fits_cluster_theme
15010,-1,660945,660948,2017-12-01 05:11:37+00:00,"@AmazonHelp Thanks for your help. It's mostly sorted out, I just wish they could actually get an option where I can return ship without a charge to me.","Thanks for your help. It's mostly sorted out, I just wish they could actually get an option where I can return ship without a charge to me.",fits_cluster_theme
15247,-1,671673,132372,2017-11-23 09:26:14+00:00,@AmazonHelp It says it was out for delivery yesterday at 1241,It says it was out for delivery yesterday at 1241,fits_cluster_theme
15256,-1,671715,671722,2017-11-23 12:07:16+00:00,@AmazonHelp Thanks .. will wait for updation. I need to buy my 2 cart items soon.,Thanks .. will wait for updation. I need to buy my 2 cart items soon.,thread_turn
16043,-1,727618,727616,2017-10-11 07:57:46+00:00,@AmazonHelp I have done the needful. Please resolve this issue else i will be forced to cancel my order,I have done the needful. Please resolve this issue else i will be forced to cancel my order,fits_cluster_theme
16049,-1,727810,727817,2017-10-11 08:07:31+00:00,"@AmazonHelp Yes, that's why she said I would be getting my refund. Maybe you could at least flag that seller as the crook they are, never responded.","Yes, that's why she said I would be getting my refund. Maybe you could at least flag that seller as the crook they are, never responded.",fits_cluster_theme
16162,-1,734675,734676,2017-10-11 11:44:39+00:00,@AmazonHelp so if i cancel i'll receive a refund? i'm not sure how just cancelling the sub would help me right now.,so if i cancel i'll receive a refund? i'm not sure how just cancelling the sub would help me right now.,fits_cluster_theme
17219,-1,786511,786520,2017-10-12 09:43:21+00:00,@AmazonHelp No still waiting for a reply now as they are saying I haven't got an account.,No still waiting for a reply now as they are saying I haven't got an account.,fits_cluster_theme
17335,-1,789747,789749,2017-10-15 06:57:40+00:00,@AmazonHelp @308338 Consider buy back offer for any old kindle model,@308338 Consider buy back offer for any old kindle model,thread_turn
17359,-1,790617,790622,2017-10-12 12:46:55+00:00,"@AmazonHelp Je vais le faire, mais mes livraisons par @132988 débouchent SYSTÉMATIQUEMENT sur un problème ! Ma confiance en @120533 n'est plus là!","Je vais le faire, mais mes livraisons par @132988 débouchent SYSTÉMATIQUEMENT sur un problème ! Ma confiance en @120533 n'est plus là!",fits_cluster_theme
17496,-1,796421,796423,2017-10-12 18:00:44+00:00,@AmazonHelp I am good. Raised a complaint for delivery service,I am good. Raised a complaint for delivery service,fits_cluster_theme
17546,-1,799642,799647,2017-11-21 23:21:09+00:00,@AmazonHelp Ok done that see what happens tomorrow I guess thanks for your help 👍,Ok done that see what happens tomorrow I guess thanks for your help 👍,thread_turn
17691,-1,807267,807265,2017-10-12 18:51:40+00:00,@AmazonHelp Several report has been already done but there was no resolution instead now I see delivery date for changed. Your service has gone bad.,Several report has been already done but there was no resolution instead now I see delivery date for changed. Your service has gone bad.,fits_cluster_theme
18024,-1,829481,829482,2017-10-22 08:00:10+00:00,@AmazonHelp Care to revert?? Everything is done from my side. https://t.co/F5cU6EMWnF,Care to revert?? Everything is done from my side. https://t.co/F5cU6EMWnF,fits_cluster_theme
18210,-1,836897,836876,2017-10-15 03:45:35+00:00,@AmazonHelp Are you dumb? I've already filled in this form the other day.,Are you dumb? I've already filled in this form the other day.,fits_cluster_theme
18217,-1,837091,837092,2017-10-13 10:00:34+00:00,"@AmazonHelp The email and push notification said so, I also paid extra for before 1PM.","The email and push notification said so, I also paid extra for before 1PM.",fits_cluster_theme
18231,-1,837539,837537,2017-10-16 07:05:30+00:00,@AmazonHelp You have mentioned as 24-48hrs. I raised complaint on 13th oct. Which contention clock u r using ?? https://t.co/1VYbwnpPBo,You have mentioned as 24-48hrs. I raised complaint on 13th oct. Which contention clock u r using ?? https://t.co/1VYbwnpPBo,fits_cluster_theme
18965,-1,873755,873760,2017-10-31 20:29:19+00:00,@AmazonHelp It sure would be helpful if someone could actually talk to me. I don’t understand why you find it so difficult to accept my help.,It sure would be helpful if someone could actually talk to me. I don’t understand why you find it so difficult to accept my help.,fits_cluster_theme
19213,-1,888449,888451,2017-11-25 16:02:50+00:00,@AmazonHelp Thanks. On a web chat with someone now.,Thanks. On a web chat with someone now.,thread_turn
20622,-1,969891,969865,2017-10-22 08:58:02+00:00,@AmazonHelp I m opening it from laptop but still no option showing for reply,I m opening it from laptop but still no option showing for reply,fits_cluster_theme
20673,-1,971016,971010,2017-10-22 11:15:02+00:00,@AmazonHelp What email you talking about. Have replied to all email. why is that i need to get the service letter for defective product,What email you talking about. Have replied to all email. why is that i need to get the service letter for defective product,fits_cluster_theme
21252,-1,993937,993938,2017-10-14 12:14:39+00:00,@AmazonHelp Arrived and past lookup my order __email__,Arrived and past lookup my order __email__,fits_cluster_theme
22059,-1,1044278,1044279,2017-10-23 09:52:42+00:00,"@AmazonHelp Have done, thanks x","Have done, thanks x",thread_turn
22298,-1,1060491,1060497,2017-10-19 11:59:49+00:00,@AmazonHelp A nan il est moins cher à Darty 229 eu,A nan il est moins cher à Darty 229 eu,offtopic_social
22541,-1,1079450,1079446,2017-10-15 03:07:06+00:00,@AmazonHelp No delivery confirmation yet,No delivery confirmation yet,fits_cluster_theme
23283,-1,1124981,1124982,2017-11-25 18:47:28+00:00,@AmazonHelp Fiz minha primeira compra na Segunda e chegou na Sexta 😍😍,Fiz minha primeira compra na Segunda e chegou na Sexta 😍😍,thread_turn
23526,-1,1134073,1134074,2017-10-24 13:30:18+00:00,@AmazonHelp yeah I did - the item has just been delivered and it's caused some issues as it's late,yeah I did - the item has just been delivered and it's caused some issues as it's late,fits_cluster_theme
23700,-1,1143422,1143424,2017-10-24 13:11:55+00:00,@AmazonHelp Should I shop from the site with good intentions or the site with good results?,Should I shop from the site with good intentions or the site with good results?,offtopic_social
23723,-1,1144982,1144986,2017-10-24 13:40:48+00:00,"@AmazonHelp I've followed the link, did as was told. Was told 3x that I would be contacted regarding issue. I have not been contacted.","I've followed the link, did as was told. Was told 3x that I would be contacted regarding issue. I have not been contacted.",fits_cluster_theme
23909,-1,1155139,1155134,2017-10-24 20:43:57+00:00,@AmazonHelp Thanks for you help. Everything has been sorted now :) And my sub has been extended for the delay!,Thanks for you help. Everything has been sorted now :) And my sub has been extended for the delay!,thread_turn
24260,-1,1188607,1188616,2017-10-25 06:49:22+00:00,@AmazonHelp This order not showing in the link. Can see it on the app,This order not showing in the link. Can see it on the app,fits_cluster_theme
24807,-1,1221803,1221806,2017-10-25 15:41:13+00:00,"@AmazonHelp It was supposed to deliver today, but the email said it had been delayed 5 days. No worries, though. I’ll wait","It was supposed to deliver today, but the email said it had been delayed 5 days. No worries, though. I’ll wait",fits_cluster_theme
24867,-1,1223191,1223263,2017-11-03 12:45:51+00:00,"@AmazonHelp I guess I am not going to get a answer? I have followed guidelines, again received email w-out results &amp; pawned off to another dept","I guess I am not going to get a answer? I have followed guidelines, again received email w-out results & pawned off to another dept",fits_cluster_theme
24898,-1,1223565,1223572,2017-11-16 15:07:34+00:00,"@AmazonHelp Last 8 interactions. ""We will get back to you""","Last 8 interactions. ""We will get back to you""",fits_cluster_theme
24911,-1,1223674,1223675,2017-11-16 15:12:58+00:00,@AmazonHelp Al final contacté por teléfono con atención al cliente. Solucionado. Gracias!,Al final contacté por teléfono con atención al cliente. Solucionado. Gracias!,thread_turn
25928,-1,1276123,1276119,2017-10-18 05:10:06+00:00,@AmazonHelp i already submitted all the details and I'm just getting emails reply but not my money.,i already submitted all the details and I'm just getting emails reply but not my money.,fits_cluster_theme
26175,-1,1288894,1288895,2017-10-26 19:49:56+00:00,"@AmazonHelp I'll check again, but so far no.","I'll check again, but so far no.",thread_turn
26290,-1,1298484,1298485,2017-10-27 08:58:30+00:00,@AmazonHelp Sorry isn’t good enough. Sort out your unreliable delivery drivers,Sorry isn’t good enough. Sort out your unreliable delivery drivers,fits_cluster_theme
27493,-1,1366961,1366962,2017-10-27 22:13:12+00:00,"@AmazonHelp Still says out for delivery, the problem is that I needed it to get here before 6","Still says out for delivery, the problem is that I needed it to get here before 6",fits_cluster_theme
27651,-1,1374047,1374053,2017-10-28 09:22:18+00:00,@AmazonHelp @439817 The lady I spoke to on the phone is amazing thank you to her,@439817 The lady I spoke to on the phone is amazing thank you to her,thread_turn
27666,-1,1374553,1374554,2017-10-28 01:11:04+00:00,"@AmazonHelp My package says that it could be lost, i contacted the seller abd it said he resend it and it’s not true","My package says that it could be lost, i contacted the seller abd it said he resend it and it’s not true",fits_cluster_theme
27696,-1,1376410,1376400,2017-10-29 02:18:48+00:00,"@AmazonHelp Yes, have ever tried? They committed to delivering it Monday. Sigh.","Yes, have ever tried? They committed to delivering it Monday. Sigh.",fits_cluster_theme
28077,-1,1393343,1393345,2017-10-28 13:45:35+00:00,"@AmazonHelp Could you just send me the link to all my lists? I can only find the old ""shopping"" list.","Could you just send me the link to all my lists? I can only find the old ""shopping"" list.",fits_cluster_theme
29439,-1,1474614,1474616,2017-11-02 21:52:57+00:00,@AmazonHelp It’s supposed to come tomorrow and it was supposed to ship yesterday but it hasn’t shipped yet,It’s supposed to come tomorrow and it was supposed to ship yesterday but it hasn’t shipped yet,fits_cluster_theme
29714,-1,1490320,1490322,2017-11-26 02:10:49+00:00,@AmazonHelp exactly what I wanted... thanks :),exactly what I wanted... thanks :),thread_turn
30071,-1,1503930,1503931,2017-11-03 16:20:50+00:00,"@AmazonHelp I will once again file an umpteenth report, but it's obvious you are either unwilling or unable to fix this problem.","I will once again file an umpteenth report, but it's obvious you are either unwilling or unable to fix this problem.",fits_cluster_theme
30108,-1,1505458,1505461,2017-11-11 14:48:00+00:00,"@AmazonHelp Not sure what's going on with this order, my other one was cancelled &amp; returned. I'm constantly having problems with @115830. Time to shop elsewhere. 😠😠😠😠😠","Not sure what's going on with this order, my other one was cancelled & returned. I'm constantly having problems with @115830. Time to shop elsewhere. 😠😠😠😠😠",fits_cluster_theme
30294,-1,1517789,1517790,2017-11-03 19:31:43+00:00,"@AmazonHelp I was going to email, but decided to call.","I was going to email, but decided to call.",thread_turn
32343,-1,1655692,1655686,2017-11-06 05:21:41+00:00,@AmazonHelp Thankyou!I have shared the details.Thankyou for your assistance.,Thankyou!I have shared the details.Thankyou for your assistance.,thread_turn
32717,-1,1676572,1676573,2017-10-17 17:02:32+00:00,@AmazonHelp No scherzavo! Non abbandonatemi vi prego!! 😅,No scherzavo! Non abbandonatemi vi prego!! 😅,offtopic_social
33118,-1,1709371,1709379,2017-11-07 01:10:40+00:00,@AmazonHelp @517957 Money been taken and it's been dispatched but now delayed along with a different order delayed for 3 days joke,@517957 Money been taken and it's been dispatched but now delayed along with a different order delayed for 3 days joke,fits_cluster_theme
33392,-1,1723424,1723425,2017-11-07 09:24:58+00:00,@AmazonHelp nope :( just that i'll get an email when its dispatched with a new deliver date. I understand these things happen but it still sucks :(,nope :( just that i'll get an email when its dispatched with a new deliver date. I understand these things happen but it still sucks :(,fits_cluster_theme
35005,-1,1899707,1899703,2017-10-18 16:38:18+00:00,@AmazonHelp Reported 5-6 times via call &amp; chat on the above link but nothing happened. This is seriously rediculous and making me more frustrated.,Reported 5-6 times via call & chat on the above link but nothing happened. This is seriously rediculous and making me more frustrated.,fits_cluster_theme
35142,-1,1919972,1919965,2017-10-18 17:47:01+00:00,"@AmazonHelp @137605 Paquete recibido a las 19.10....el concepto de ""en horario de mañanas"" en correos express lo entienden un poco diferente a mi","@137605 Paquete recibido a las 19.10....el concepto de ""en horario de mañanas"" en correos express lo entienden un poco diferente a mi",fits_cluster_theme
35322,-1,1955359,1955361,2017-10-18 17:21:50+00:00,"@AmazonHelp It's covered in a mystery oily fluid, which could be hazardous for all I know. Everyone is telling me how to return, I want a new copy!","It's covered in a mystery oily fluid, which could be hazardous for all I know. Everyone is telling me how to return, I want a new copy!",fits_cluster_theme
35713,-1,2061322,2061324,2017-10-19 00:58:29+00:00,@AmazonHelp HAHA i didnt even notice that,HAHA i didnt even notice that,offtopic_social
35741,-1,2063339,2063340,2017-10-19 01:26:36+00:00,@AmazonHelp Thanks. Information entered. I will await your call.,Thanks. Information entered. I will await your call.,thread_turn
36178,-1,2122392,2122393,2017-10-19 06:44:07+00:00,@AmazonHelp @292555 Try @17256 :) https://t.co/NOQYUzqIYB,@292555 Try @17256 :) https://t.co/NOQYUzqIYB,offtopic_social
36500,-1,2146730,2146731,2017-11-10 04:37:04+00:00,@AmazonHelp @532572 Wow!!! So impersonal and unprofessional @115821. The customer service and guarantees are going down the tube. I️ personally ordered 1 day shipping on presents for the boys bday 2 days ago. So@e just shipped today. Ridiculous.,@532572 Wow!!! So impersonal and unprofessional @115821. The customer service and guarantees are going down the tube. I️ personally ordered 1 day shipping on presents for the boys bday 2 days ago. So@e just shipped today. Ridiculous.,fits_cluster_theme
36781,-1,2170396,2170399,2017-10-19 14:58:36+00:00,"@AmazonHelp Ok. I'm disappointed that when I ordered the items, it said Guaranteed Delivery by Wed Oct 18 and that guarantee was not met. ☹️","Ok. I'm disappointed that when I ordered the items, it said Guaranteed Delivery by Wed Oct 18 and that guarantee was not met. ☹️",fits_cluster_theme
36789,-1,2170781,2170783,2017-11-09 12:55:06+00:00,@AmazonHelp Coffee supplies bought on @115830 have broken the machine even though they are sold as compatible on @115830 . Offering to refund the coffee doesn't make the machine work again!,Coffee supplies bought on @115830 have broken the machine even though they are sold as compatible on @115830 . Offering to refund the coffee doesn't make the machine work again!,fits_cluster_theme
37170,-1,2205133,2205104,2017-11-10 01:12:36+00:00,@AmazonHelp Then I have to delete the order and pre order it again cause I didn't get no pre order code,Then I have to delete the order and pre order it again cause I didn't get no pre order code,fits_cluster_theme
37837,-1,2266901,2266899,2017-11-11 08:31:54+00:00,@AmazonHelp I got a mail... But y u r not ready to accept your fault that you have cancelled it... With out my permission...,I got a mail... But y u r not ready to accept your fault that you have cancelled it... With out my permission...,fits_cluster_theme
38242,-1,2285058,2285059,2017-11-11 16:15:30+00:00,"@AmazonHelp I haven’t yet. I’m worried that’s a bit a sledgehammer. Any chance of losing notes, bookmarks or other device local data?","I haven’t yet. I’m worried that’s a bit a sledgehammer. Any chance of losing notes, bookmarks or other device local data?",fits_cluster_theme
38311,-1,2288308,2288310,2017-10-19 19:43:16+00:00,"@AmazonHelp Et en plus se faire engueuler par le livreur, ca cumule beaucoup d'agacement...qu'est ce qu'on fait @120533 maintenant ?","Et en plus se faire engueuler par le livreur, ca cumule beaucoup d'agacement...qu'est ce qu'on fait @120533 maintenant ?",fits_cluster_theme
38618,-1,2296795,2296802,2017-11-15 17:56:00+00:00,@AmazonHelp Creo que llegaré a tiempo... https://t.co/8YuHWnoikf,Creo que llegaré a tiempo... https://t.co/8YuHWnoikf,offtopic_social
38698,-1,2299102,2299103,2017-11-12 15:38:59+00:00,"@AmazonHelp none of the above are working😣 it doesnt show up no matter the browser or device, i can only see it via the link. but i want to add more","none of the above are working😣 it doesnt show up no matter the browser or device, i can only see it via the link. but i want to add more",fits_cluster_theme
