customer_message_id,conversation_id,created_dt,prev_input,embedding_input,cluster
197991,197995,2017-09-25 11:55:06+00:00,Sending me the social media complaints submission form link,@115851 you haven't send me the form link. I got the contact us link. Send me the social medial complain form link,42
197937,197995,2017-10-05 11:07:32+00:00,"I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",@115851 was told a returnless refund wil b issued. So gave phone to someone in need. Now a pickup is scheduled. Tell me now what to do.,-1
197947,197995,2017-10-07 14:30:49+00:00,@115851 didnt receive any mail.,"I have checked, I didnt receive any mail today from social media escalation team.",42
205056,205062,2017-10-04 08:45:48+00:00,I still have not received my codes. Pre ordered back in April.,"Yes, still nothing",117
205693,205695,2017-10-11 23:24:35+00:00,"No this menu is to set up lighting groups. Multi-room speaker groups should be set up in ""Settings -> Audio Groups"" but it isn't there!!","It shows up now, I guess features roll out in phases. Thanks for your support",-1
206697,206695,2017-10-04 22:15:42+00:00,"Yes I know I can search by email, but is there a way to search by item? Would be a cool feature as we could surprise people with gifts.",On social media. Does that make sense?,42
206893,206897,2017-10-04 21:33:58+00:00,Out for delivery. It's said this since 11am😡,Not good enough.,115
206979,206985,2017-10-05 13:21:00+00:00,"Refund, can't source from anywhere else. Put up with it. Now if you pay for prime they could easily extend my prime or refund some £",Nope :-(,115
207573,207579,2017-11-15 19:33:56+00:00,Never thought of buying from @115850 will put me in such trouble @135833 plz help.@165092 @91790,Any update?? I am not getting any communication from your end.,-1
210415,210417,2017-10-05 06:10:37+00:00,But on the main page it has written that winner will be announced by 25 oct 2017.,Please provide me the link so i can check the result on 25 oct,-1
210463,210479,2017-10-05 06:49:01+00:00,But i think its your job to allow only those sellers who seals prodect at maximum discounts and speacily in #AmazonGreatIndianFestival 1/2,Sothat it reduces confusions for customers and fixed prices will be helpful for treating all the customers equally. 2/2,-1
210476,210479,2017-10-06 15:33:39+00:00,It will creat transparency in the market and reduce confusion.,Ok. But i would like to know how they react on this and there decisions regarding this issue. So how can you manage this?,-1
216056,216059,2017-11-23 13:50:04+00:00,"The one where I can see all my subscriptions and when they’ll be mailed. I can also modify the subscriptions and cancel them. Even on the product page, the price is cheaper than in the email I received.","In English it may be called something different. In French, it’s “gérer vos abonnements”.",-1
218031,218044,2017-10-05 19:45:19+00:00,#1) 11PM? What the hell is wrong with your delivery person? #2) My place of business was closed. #3) it's not here. Anywhere.,Where are the standards?,-1
218040,218044,2017-10-05 20:04:37+00:00,Look back at our history and tell me why I'm not wasting my time.,I'm talking about our social media interactions.,42
219484,219490,2017-10-05 02:52:25+00:00,"I did. Have to wait 24 hours for a response, no guarantee of getting the beta code in that time span. Any further help would be appreciated.",I do appreciate the swift response via tweet.,42
222680,222676,2017-10-05 05:31:55+00:00,You mean send an email?,Tweeting suits me best tbh ;),42
222829,222834,2017-10-05 03:43:46+00:00,Quise hacer una compra y me bloquearon mi cuenta. ¿Como puedo recuperarla?,Ya y nada,115
225050,225048,2017-10-05 06:56:11+00:00,"La même que sur le suivi en ligne : remis au transporteur. Chronopost, lui, dit le contraire. Et ça traine depuis lundi.","Oui, bien entendu.",125
226285,226298,2017-10-05 07:14:47+00:00,"No. I haven’t heard anything. No email, phone call or an app alert. It said yesterday it was due to arrive Friday and changed over night.",Nope. Doesn’t give any reasoning.,115
226402,226418,2017-09-23 05:14:31+00:00,10 days and *NO* calls from any Amazon representative.,"Hi! I just checked. THe last e-mail is dated 12th August. After that, it is only twitter communication. Nothing in tHe spam/junk folders.",42
227748,227752,2017-10-05 11:53:37+00:00,oui et apres quand j'ai annulée j'ai reçu deux mail d'annulation,c'est fait toujours pas de réponse depuis votre tweet,42
229766,229763,2017-10-05 09:07:53+00:00,Yesterday,No not yet,116
230902,230897,2017-10-05 11:13:16+00:00,I have already shared all the product details from that link.,Ok. deleted that tweet,42
231713,231711,2017-10-07 11:56:02+00:00,Not working....,Thanks. This worked. Appreciate quick response.,-1
231835,231842,2017-10-05 12:05:35+00:00,"I'll definitely do that as clearly you failed to resolve my issue, i paid for a mobile handset and you are fraud, whoever did this is amazon","I've shared the details and received an email from social media expert 2-3 days back, but there is nothing post that",42
231908,231940,2017-10-05 10:39:30+00:00,"Ca fait 5 mois et 10 jours, je pense que j'ai suffisamment fait preuve de patience et qu'un traitement urgent est le minimum",et toujours rien...,115
231910,231940,2017-10-06 08:27:57+00:00,toujours pas de réponse. C'est vraiment du foutage de gueule,"non, rien",115
231912,231940,2017-10-06 08:41:31+00:00,"non, rien",et toujours rien !!!!!!!,115
232699,232693,2017-10-05 14:15:07+00:00,U guys are not telling me anything different but same thing which has been repeated n times. Useless @115850 @118919 @118702,"have, no success actually this conversation shows how bad and worthless you guys are. Can't access account on Twitter really..thts ur excuse",42
234745,234747,2017-10-05 16:23:37+00:00,Haven’t had it yet!,No nothing yet,117
244111,235187,2017-10-06 09:27:25+00:00,Now amazon will not responding so i will meet in grahak suraksa office and i will complain of this issue good bye,I will wireal thi my issue in all social media ok,42
240149,240130,2017-10-11 10:26:51+00:00,"Please define the earliest? Give me a final deadline, I have been getting many.","Guys, still no news. @115850 @115821",-1
244158,244156,2017-10-05 18:32:08+00:00,Yeah. I was told Oct. 4 and the app has said “On the way” since yesterday morning,I haven’t! I couldn’t find the link. Thank you.,114
246397,246395,2017-10-05 16:10:34+00:00,Should have been today. 4/10/17,No there isn’t,115
255079,255077,2017-10-05 20:27:42+00:00,What’s the US version of that please? I’m in the US w/my US acct.,"Actually ignore my last tweet, it’s the same just .com.",42
382635,264723,2017-10-09 14:17:41+00:00,"don't make us fool,provided me a mail you did,","Who can help us?? please provide correct details, either issue is more spread in social media",42
269794,269792,2017-10-06 01:47:05+00:00,I raised a concern about refusal of delivery by Aramex courier at door steps your executives kept on dilling dolling for finding no solution,yes very much,125
272667,272657,2017-10-06 05:16:49+00:00,What will you do as order is canceled? Even cloudtail is using Gati courier. It will crash your business as well in no time. Wait n watch,"If you are not able to even check the details, why you are here at twitter? Only for Tweeting?",42
273158,273156,2017-10-06 04:31:29+00:00,"Amazon, era para el lunes 2 de Octubre.",2 marcan que el 4 Octubre están en la aduana México y otro marca desde el 13 de Septiembre que está en Rodgua... 😔,-1
276116,276119,2017-10-06 07:36:27+00:00,No I dont have time sorry,Situation is not resolved so I'm entitled to tweet that your service sucks.,42
277237,277241,2017-10-14 13:02:22+00:00,"That it is being referred to a ""specialist team"" who will be in touch ""within 24 hours"". It's now been six days...",No I haven't,114
277243,277247,2017-10-14 14:17:43+00:00,@AmazonHelp are there any contests these 3 days so that i could get a brand new iphone 8,@AmazonHelp Thank u.....can i put my hopes alive for any contest on iphone’s in coming week,-1
277826,277818,2017-10-06 08:41:18+00:00,"One was the day before yesterday, one was yesterday and the last one is today.",Absolutely nothing👍,115
279410,279455,2017-10-11 13:05:39+00:00,"More than 50 email I have sent, better you refund my money. I don't need this account,I just want my money",No one does tht,115
279675,279673,2017-10-06 10:39:23+00:00,You completely messed up an order which has now caused me significant issues. Speaking to support via chat was a complete waste of time.,I really can't be bothered to go in to it all again plus Twitter is limited to 140 so not enough space. Feel free to call me if you like.,42
279885,279900,2017-10-10 07:56:40+00:00,But my issue is still not solved yet seller is blackmailing me to remove feedback and i dont wanna do so,"Sir , still my issue is not resolved everytime i tweet i get a link but after that there is no solution for my problem @1840 @115851",42
279937,279940,2017-10-06 10:05:33+00:00,Qu’il savait pas quoi me répondre.,Je ne pense pas.,115
280342,280343,2017-10-06 10:07:41+00:00,No response,21 aug my first tweet. Today is 6 oct. My missing inventory eaten up at which level ?? Should I forget about it ???,42
383260,280388,2017-10-10 04:44:37+00:00,Have replied. Pls look into it. The matter reaches different hands to no solution.,Just a link to my 1st tweet. 21 aug and we are at 10th oct today.,42
383269,280388,2017-10-11 05:28:24+00:00,My next project dated 18th will get cancelled too. Need a quick followup pls. 4 mnths 4 projects lost. Cannot afford more. REQ,Simlar tweet from u on 30th aug.,42
383291,280388,2017-10-29 09:26:56+00:00,Pls see that a decision is reached soon,Basically tweeting is pointless ?,42
438814,282739,2017-10-18 09:09:43+00:00,"I have already had enough harassment from you. Please confirm, did you cancel this order immediately or not. That will answer my query.",One more SMS https://t.co/irk5Hx7xS3,-1
284044,284041,2017-10-06 14:57:11+00:00,408-3137785-3626763 this is my Order ID... Please Make a confirm that This product won't be Cancelled,Okay... Shall I delete that tweet?,42
288100,288134,2017-10-12 09:53:52+00:00,@115850 pls keep investigating but can someone tell me if I get my packet or not. Extended deadline also finishing today and no updates,@115850 NO status update no delivery and now customer care says we are no more responsible only social media team can help. JOKE JOKE,42
288322,288319,2017-10-07 06:04:09+00:00,"@115851 Need resolution on this ASAP, its been already too long. Order # 404-2934721-8605949","Deleted the tweet, but still this issue is getting out of hand.NO REFUND, NO PRODUCT. Its my loss both ways. Will nt let this hppn.",42
297315,297319,2017-09-27 20:01:36+00:00,Social media escalation team joins the race in providing pathetic service & no resolution @115850 competing with ATS and Leadership team.,"Obviously, shared all details in link & received a mail from an incompetent member of your SOCIAL MEDIA ESCALATION TEAM but no resolution",42
297309,297319,2017-09-28 18:20:33+00:00,"This issue was already escalated on Sept 24th.Is your team waiting for some ""Muhurta"" to resolve this issue & there is no update for 4 days",Maybe Leadership team and Social media escalation team @115850 are too busy providing pathetic response that there is no update till now,42
297289,297319,2017-10-08 06:41:05+00:00,"The update never came,the product was'nt delivered after 5 days due to same issue.Finally cancelled the order. As usual, hopeless support",There are no updates. I am sure Social media escalation team won in providing pathetic customer support competing with leadership team,42
297294,297319,2017-10-24 02:37:22+00:00,"Awaiting for your ""email"".Not sure if you provide fake tweets or emails take months to reach.ATS achieves in providing poor service again","As tweeted on Oct 8th,there are no emails.Please stop posting fake tweets.There are no correspondence regarding this since Sept 26",42
297296,297319,2017-10-24 03:31:46+00:00,"As tweeted on Oct 8th,there are no emails.Please stop posting fake tweets.There are no correspondence regarding this since Sept 26","Reiterating again-""There has been NO emails from Social Media team for LAST 28 DAYS"" @115821 @115850 Please STOP posting fake tweets again",42
297299,297319,2017-10-31 04:22:14+00:00,"Reiterating again-""There has been NO emails from Social Media team for LAST 28 DAYS"" @115821 @115850 Please STOP posting fake tweets again",Social media escalation team is sham @115850 @115821 & ATS team believe themselves as Gods providing fake updates & none to question them,42
297303,297319,2017-10-31 06:04:36+00:00,Details had been shared through link & escalated to leadership team 4 times but ATS Gods haven't been appeased for last 3 months till now,The entire intent of tweeting again was the issue is unresolved even after receiving the correspondence concluding that your team is hopeles,42
300550,300539,2017-10-07 09:09:24+00:00,"Hi again,your assistance was helpful, at the end he told me to rate the help but i couldn't find where it was.Please give Steven Saul 5/5 :)",No I haven't,114
301060,301050,2017-10-07 13:01:59+00:00,"N/M, tried it w/o signing in. Done.",I went to the site you directed me to and filled out the contact info. I’ve not been contacted. When will that happen? Thanks.,-1
304418,304431,2017-10-07 22:00:24+00:00,Did that but there's no way to attach screenshot in the form so same thing going to repeat. Same message still being displayed - https://t.co/311kKb4YW1,Link to this Twitter thread already submitted in the form filled again just now,42
1281371,304596,2017-10-27 16:37:26+00:00,Learn from https://t.co/tSrrVk1Nai. But you people donot bother about customers,"Even after so many tweets you people donot try to understand the concern. Order no is given, links filled, remarks given but all in vein",42
311495,311493,2017-10-07 03:56:20+00:00,And dear @115850 it's been more than 13 days I ordered am yet to get my product !!!! When am going to get it ??,Updated already kindly check and revert,-1
311543,311527,2017-10-09 14:37:28+00:00,I have already done it. Are you not able to retrieve my details? However I have filled my details again,Here is the link to your previous tweets . https://t.co/jQ6ls8UDLQ,42
313001,312986,2017-10-07 05:12:41+00:00,"Canceled order, what's personal. Pathetic service visible to all @115851",From day 1 I was telling Via emails and call but u guys kept me waiting giving assurances. I even told that the seller has wrong pin code.,-1
317908,317906,2017-10-07 10:04:47+00:00,"Became a Prime exclusive...After having saved for a long time, I can now no longer buy that item.. And forced to look elsewhere :( (2/2)","Haven't had one because I was sure I wouldn't be able to commit at the of the 30 days, sadly.",114
317925,317926,2017-10-07 09:47:31+00:00,Avelino Baptista __email__ 38 Chatham st Lynn ma 01902,"I am a hard working man, trying to make America great again @ U.S.A! I get someone in the Philippines God bless them great people!",-1
319178,319176,2017-10-07 13:14:26+00:00,Yep . Thanks for the reply.,Sure thing.,125
319463,319461,2017-10-07 14:03:35+00:00,No. I only have 1 item for order.,that's not strange. I have seen other users tweeting about same problem. Here's one: https://t.co/lwvPUg0zxT,42
320043,320019,2017-10-09 02:00:05+00:00,Show me d progress what you have done for so far ask someone to call me and make me understand what’s going on. Nobody contacted me till now,What you will respond there ‘your sincere apology and will get back to you soon’ if you could respond there why I had to cm on social media?,42
320327,320325,2017-10-07 12:20:31+00:00,Never left it in the safe place and marked it as unable to deliver. Also left gate wide open which would allow dog to escape.,Nope. Yes and yes. Just this person seems not to want to do that and add work for themselves by returning to depot.,-1
320353,320358,2017-10-13 10:31:14+00:00,1__credit_card__ Your customer support is horrible,yes provided,125
320645,320647,2017-10-07 12:33:12+00:00,She asked me for the last 4 digits followed by expiry dates and wasn't ready to transfer my call to someone.,I don't think that's legit,115
328452,328458,2017-10-07 17:52:24+00:00,"Le suivi sur le site de colisprivé dit: ""Votre colis est en cours de livraison"". C'est des champions.",Pas encore.,116
328455,328458,2017-10-07 18:06:57+00:00,Pas encore.,"Merci, je ferai suivre les réponses sur twitter et FB.",42
331242,331240,2017-10-07 18:44:36+00:00,"And then an enigmatic statement that i must log on to my mobile drvice to ""rent"" the film, nothing when i do, i design better ux on the loo",No i have not ... and heres why...,114
331280,331275,2017-10-07 19:34:18+00:00,Really I'm very disappointed about your services.I'm not a celebrity that's why you harrash me. I purchase shoes for wear but u make me fool,I already contact to your support team but your support team is unable to solve it that's why I contact via Twitter,42
1260621,331369,2017-10-16 09:32:56+00:00,Wow I am unable to find option for my problem..can't you guys help? Or any contact number..I m in US and m recieving waves of messages,"Yes, for sure..no one is doing that",115
331993,331987,2017-10-07 20:23:00+00:00,I need my product..which I purchased.but when I contact cust sup..you guys are telling tht product is auto cancelled. Due to lack of stock..,How can It is posbl?,-1
643831,332010,2017-10-13 05:23:01+00:00,It is an useless email without any resolution.,"No thanks, your social media team is quite useless in resolving an issue.",42
643830,332010,2017-10-13 05:52:18+00:00,"No thanks, your social media team is quite useless in resolving an issue.","You have to tell me that, please check the history of the tweets and check the email I have replied to you. Why are you asking me for details when I should be the one asking",42
643835,332010,2017-10-14 16:10:13+00:00,"You have to tell me that, please check the history of the tweets and check the email I have replied to you. Why are you asking me for details when I should be the one asking","What correspondence and what response, your social media team is a joke.",42
643850,332010,2017-10-31 17:24:38+00:00,"You think I didn't try, I chose the reason ""Payment issues"" still it plays the same record on IVR.",What is this Twitter handle for then?,42
