customer_message_id,conversation_id,created_dt,prev_input,embedding_input,cluster,cos_solo,cos_aug,rank_solo,rank_aug
77349,77343,2017-12-01 16:40:17+00:00,How many times I have to give my details. Case is alrdy open with ur support team. Atleast kuch toh kaam karo. I m not here to spoon feed u. Disgusting @115850,Wow...then why this Twitter Handle is created. Alrdy provided all the details to ur support team Upto u if u wanna help and try to solve my issues beyond ur boundaries https://t.co/oNpFViH8ME,42,0.3767369697217112,0.6435908363690153,1.0,1.0
77598,77617,2017-11-30 18:35:31+00:00,You DUMB people. Did you understand the FACT. I am still in trouble... Because your FE will ask for the Pickup of Origi al order.. Is not ?? After 5 days.. we will on the same page. Mr. @115851 what is going on. Mr. @5339 if u still there #ShameforAmazon,"Oh GOD ! again link, fill up and will get the copy-paste emails.. Even I am telling you the FACTS about the possibilities. What you guys doing there ? @115850 paying you, for what.. Its mystery. @115851 @115821 @5339 #ShameOnYouAmazon",-1,0.6151810758797776,0.6736508337395174,1.0,1.0
78793,78803,2017-11-29 16:44:57+00:00,sie brauchen nur die früheren tweets zu verfolgen 71332205299377,"Ich habe meine Sendungsnummer getwittert, es wäre Kundenservice, wenn Sie sich darum kümmern ;)",42,0.5917223468850741,0.5863342012994429,2.0,1.0
80573,80563,2017-11-30 15:44:31+00:00,It won’t let me fill it out. I can’t get the URL for some reason. I’m on the APP,I can fill it out but it asks for the Twitter url and I can’t get that so it won’t let me submit it,42,0.3883681927998367,0.4297957482366539,1.0,1.0
80579,80563,2017-12-02 13:03:01+00:00,I have not been called yet...,Still nothing,117,0.2974985380000777,0.5438434349853001,4.0,1.0
83380,83366,2017-12-02 11:21:13+00:00,Your customer executive was extremely rude and kept on insulting and disconnected the call when I told her to provide me whatever confirmation she is giving me on call in written. Why are you guys so afraid to give something in written? Fraudsters !!!,Leave it you guys have all ganged up. I am going to circulate that audio in social media. That is all. People should know how you people behave with them.,42,0.056030073419455505,0.5746684938991727,17.0,2.0
91362,91376,2017-11-29 16:45:43+00:00,Enfaite quoi qu’on vous demande il faut patienté même quand les délais d’attente prévue est dépasser.,"Toujours rien, normal?",115,0.41112699719967244,0.5789063961765654,3.0,1.0
93537,93543,2017-11-30 15:25:16+00:00,Can you please just answer my question? Yes you missed the delivery date. Its become a pattern. Do you have a link to the official 2 day shipping policy for Prime members?,Latest example. Yes this is a Prime item. https://t.co/aBIOp7d9CY,-1,0.21807222608898252,0.7717580479442729,4.0,1.0
107319,107323,2017-11-30 20:45:04+00:00,I finally was able to get a number for a corporate employee In Washington state whom provided me a refund after days of empty promises and unfulfilled guarantees. I am still not happy with the several wasted days and plan to finish my holiday shopping with other vendors,"I could not possibly explain in the small space provided by twitter, but I fully intend on utilizing social networks to get my story out.",42,0.13455047647217439,0.7790632978778251,10.0,1.0
122011,122000,2017-11-24 09:26:24+00:00,Your customer service can’t seem to answer my question when I have asked it the guts of 20 times,I have and they didn’t,114,0.20419305103893926,0.824302515062122,6.0,1.0
158797,122726,2017-11-25 00:46:07+00:00,"Request give me address of delivery service I will get it collected in Jhansi,I am fed up now",My tweets are after reading your reply,42,0.5024119958646727,0.5908335711424504,1.0,1.0
127387,127386,2017-11-24 08:39:30+00:00,Which is India's No.1 smartphone?,Who are you sorry to?? You'll have to be twice as sorry now you've mucked up the tweet!,42,0.05734027014192985,0.8033001531209426,20.0,1.0
128079,128087,2017-11-20 02:30:11+00:00,"Lol.. being an online retail company in digital age what Ur replying shows the allure of devil to perform in dark..if u can reply me apologize me in this platform why not solve here haha...Ask me anything here, I 'll provide all d details.@115851 @120844 @127586 @4211",Why Twitter has banned you? Or you are apprehensive lol @115850 @115851 @120844 @127586 @4211 @144772 @144778 @144773 @144777 #digitalmafia @115821 @117634 @115830 @116935 @1404,42,0.39219298294393506,0.6610115798368879,1.0,1.0
128070,128087,2017-11-23 07:05:36+00:00,Euphemistically stupidity https://t.co/OPQA3k4yWS,I m damned sure D's tym also @115821 will act filthy #digitalmafia @115850 @116618 @116935 @115830 @117634 @115851 @120844 @127586 @144772 @4871 @144773 @144771 @4211 @144769 https://t.co/xPJ3qdGX0Y,-1,0.6900536476008721,0.6042192904118535,1.0,1.0
130257,130255,2017-11-24 07:26:58+00:00,But what was the problem?,There’s nothing there,115,0.12349726656498165,0.5594030857123838,12.0,1.0
132345,132348,2017-11-24 15:12:13+00:00,Done that - order details don’t specify who the courier is,No and no,115,0.12975229751973288,0.700975422211372,12.0,1.0
132463,132467,2017-11-24 08:31:02+00:00,"Hi. Twice to say on its way, after second time another one to say had been sent to wrong depot, then email re refund. On frist attempt everything else ordered did arrive.",Hi. No I haven't. I'm a bit lazy- Twitter is always quicker...,42,0.13316349199533087,0.7971285059098331,14.0,1.0
132527,132518,2017-11-25 08:58:36+00:00,Need for speed payback et star wars battlefront 2 sur ps4,Ben non. C’est à vous de me dire pourquoi ce code ne marche pas,115,0.5711327866603608,0.6498530674175966,1.0,1.0
134812,134816,2017-11-24 09:04:47+00:00,I have still not had a reply from your team since using the link above,Yes. Nothing.,115,0.14277804021501506,0.9541255745875636,7.0,1.0
136254,136252,2017-11-24 17:39:16+00:00,"Die Informationen stecken alle im Tweet selbst. Koordinaten sind im Tweet. Uhrzeit ist auch im Tweet. -3 Minuten fürs schreiben vielleicht. Falls ihr das in @146704 Lösung nicht seht, dann eventuell ein Feature request wert. https://t.co/HehF2f2ujJ","Hätte ich nicht „helfen“ wollen, hätte ich den Tweet nicht geschrieben. Nur mache ich Dinge ungern mehr als 1x",42,0.5498513955617723,0.8165914170651096,1.0,1.0
140058,140068,2017-11-24 14:30:40+00:00,A priori le message que j’ai envoyé il y a 2 jours s’est perdu (je n’ai même pas reçu de confirmation en effet). J’en repasse un à l’instant. J’ai bien une confirmation de réception. Attendons…,Et bien on ne m'a pas répondu à propos de votre engament sur Twitter que ça ne se reproduise plus. Seulement un bon d'achat de 5 euros 🙄 https://t.co/oWKmPUeaQ5,42,0.5445621011595543,0.7114589067324399,2.0,1.0
140999,140994,2017-11-24 12:43:48+00:00,"The original order delivery date for the bracket was the 21st, it was then reordered via customer service for delivery today .... it hasn’t even yet left the warehouse",I believe my dad has been trying to talk directly to customer service and even tried emailing the CEO but is not satisfied ... I volunteered to tweet as he doesn’t ... until the tweet at the beginning of the thread,42,0.2134034458659749,0.6717773538682,8.0,1.0
2721782,141067,2017-11-21 08:27:28+00:00,Whats the update??,I hv already updated on the given link yesterday,-1,0.345532133786685,0.5035164321352329,2.0,1.0
142932,142930,2017-11-24 13:34:43+00:00,Pues que llevo desde las ocho y media de la mañana intentndo colgar un libro. Y es imposible.,Perdone usted pero ¿ puedo hablar con una persona humana por teléfono y no con un bot? Twitter no es el medio.,42,0.16795624201368778,0.6630660654976871,13.0,1.0
153723,153727,2017-11-24 16:12:14+00:00,When can I expect the email? Thanks!,Still nothing 😕,117,0.08645179853695756,0.8995685689203629,19.0,1.0
155179,155185,2017-11-24 17:26:31+00:00,"Yes. I was confirmed 2 day shipping via Prime, but it arrived in 5 days.",Not yet. How do I do that?,116,0.18174959865485324,0.6931101397845367,13.0,1.0
156684,156690,2017-11-24 17:41:22+00:00,"sur Amazon il est ecrit ""Colis envoyé au transporteur, en transit."" et sur le site du transporteur qui est Colis Privé c'est ecrit ""Votre colis a été expédié par votre webmarchand, mais n a pas encore été pris en charge par Colis Privé""",non ne sachant plus comment contacter le SAV je suis passer par twitter,42,0.379252003886572,0.7322366336759064,7.0,1.0
156729,156732,2017-11-26 08:55:29+00:00,Yes but as it’s from October it won’t let me,Can you read the other tweets or not?,42,0.13841335693919682,0.5244466419309486,13.0,1.0
2104278,158832,2017-11-08 14:35:19+00:00,Thanks :),I wonder what's wrong with you people but you do not feel ashamed of what you want You people will openly oppose you on social media when you feel like you are asking me for a month from you. Here are the troubles here. Write trouble here but my problem is not solved.,42,0.18927860560740598,0.27603773422195155,6.0,2.0
179204,179218,2017-10-04 14:00:46+00:00,"I just rang the number you sent me in the email “This number is no longer in use” - get a grip Amazon, your systems are broke!!!",I used the link in your tweet - lead me to a log in page - I CANT LOG IN - is that loud enough?,42,0.4097396657586782,0.6518970982175731,1.0,1.0
179207,179218,2017-10-04 21:57:27+00:00,I used the link in your tweet - lead me to a log in page - I CANT LOG IN - is that loud enough?,"Still looking, nothing yet!",117,0.3260935179647654,0.6275199829793465,4.0,1.0
179210,179218,2017-10-05 07:09:09+00:00,Still looking - no new emails from Amazon,Read the previous tweets - I can’t log in! This has been going on for a day now!!!,42,0.6680608160315548,0.6893348234719139,1.0,1.0
179523,179526,2017-10-04 15:41:00+00:00,Hope the 48 hours means the 48 hours only this time..not more than that @115850,@158284 Why your consumers have to take it to social media to resolve petty issues? Had the team done it's job...why this public embarrassment??,42,0.5018487692807132,0.5538709972108518,1.0,1.0
237733,179526,2017-10-08 06:50:48+00:00,I think this 4 days back mail you are talking of?? Already replied boss https://t.co/rgMlXQUGSi,I am giving unnecessary justification.. Instead of tweeting#faketweet better to focus on the cashback,42,0.4966070957460943,0.6704351712477743,1.0,1.0
237763,179526,2017-10-09 13:17:22+00:00,I am hearing the same thing from such a long time. Don't you think so that you are harrassing your customer? What's a reason of taking tym?,Answer to my questions I sent on mail to Shruthee.. the social media escalation team member.,42,0.5778127235175585,0.5350421464937196,1.0,1.0
179678,179685,2017-10-04 11:31:38+00:00,Cada vez que enviáis un no-reply mail augmentan mis ganas de dar de baja mi cuenta #epicfail,Sí Lo es,124,0.2954210420178966,0.733600238398125,6.0,1.0
179894,179899,2017-10-04 10:39:13+00:00,"Je vous ai donné toutes les infos, vous ne voulez pas que je livre moi même ?",Déjà fait sans succès. Mais vous servez à quoi au juste sur Tweeter ? Si ce n'est que vous afficher,42,0.540866254755299,0.6881290236804911,1.0,1.0
182932,179935,2017-10-05 17:17:22+00:00,No emails yet!,Nope...nothing there either,115,0.2626187114271401,0.5997094042191924,5.0,1.0
180802,180859,2017-10-05 18:46:17+00:00,Yeah I've requested @115851 to do needful. Let me know if you didn't heard from him.,Oh I know past 100 people said the same but after providing all the details I got only sorry @115851 knows that I guess if he read tweet,42,0.5303380736943539,0.6997737612002339,1.0,1.0
180906,180913,2017-10-04 12:59:16+00:00,"I doubt you can help. We had 3 conversations last time, just assurances",even the form looks intimidating. When you ask phone# why is the URL to twitter message needed. Can you PM,42,0.4604257607014478,0.5334812986306818,1.0,1.0
181204,181216,2017-11-25 01:57:07+00:00,The other person in my Amazon Household (my other half) isn’t able to use my prime benefits and is no longer showing as part of my household on their account. But is on mine. But your 180 rule means I can’t delete him and re add.,"I’ve tried that already. That’s what my original tweet was complaining about? I asked her to speak to someone else and she said I’d get told the same by anyone else there. But she never actually told me anything that made any sense (she was lovely and polite though, just no help)",42,0.2894774749912521,0.6477317410854198,7.0,1.0
182557,182562,2017-10-04 16:41:30+00:00,"Yeah! Your support team is very busy, they r on there toes for getting the product delivered by the evening. THEY ASSURED THIS EVERYDAY.",And do you really think that someone would post to Twitter before contacting customer care multiple times.,42,0.45807697539421155,0.6712521566163321,2.0,1.0
183017,183025,2017-10-04 17:44:51+00:00,Faux ! Il s’agit de 3 livres 😁,Non ! Vous n’êtes très bon comme voyant 😉,-1,0.36071577801871174,0.7052736627732157,1.0,1.0
189242,189248,2017-10-04 20:39:17+00:00,How would I know that I bought it from amazon,It doesn’t say,115,0.14925299320112562,0.595994477725037,8.0,1.0
191538,191534,2017-10-06 03:33:58+00:00,I emailed them and they gave me Patch SellerOrderId and ShipTrack but it is not under my orders and i dont know how to look it up,no they did not,115,0.2865366160852212,0.7291962604531176,3.0,1.0
191770,191780,2017-10-05 21:43:50+00:00,@161066 you are blantantly lying just as ea did if we didnt preorder before oct 1st we dont get early beta so i hope someone sues the shit out of u,Still nothing,117,0.27525533890638176,0.6859489059590387,5.0,1.0
222875,197677,2017-10-05 12:26:03+00:00,I just trusted amazon and i downloaded the apps oh man,"Genuine offers, u only gave the offer of free mobile but now",-1,0.5500961599991379,0.7222131745339103,1.0,1.0
197991,197995,2017-09-25 11:55:06+00:00,Sending me the social media complaints submission form link,@115851 you haven't send me the form link. I got the contact us link. Send me the social medial complain form link,42,0.6265237596042923,0.5282729204830575,1.0,1.0
197937,197995,2017-10-05 11:07:32+00:00,"I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",@115851 was told a returnless refund wil b issued. So gave phone to someone in need. Now a pickup is scheduled. Tell me now what to do.,-1,0.7419142126360057,0.8053960292972184,1.0,1.0
197947,197995,2017-10-07 14:30:49+00:00,@115851 didnt receive any mail.,"I have checked, I didnt receive any mail today from social media escalation team.",42,0.6506651463443814,0.7436186605210471,1.0,1.0
205056,205062,2017-10-04 08:45:48+00:00,I still have not received my codes. Pre ordered back in April.,"Yes, still nothing",117,0.24218192730134794,0.7044144276935262,7.0,1.0
205693,205695,2017-10-11 23:24:35+00:00,"No this menu is to set up lighting groups. Multi-room speaker groups should be set up in ""Settings -> Audio Groups"" but it isn't there!!","It shows up now, I guess features roll out in phases. Thanks for your support",-1,0.2769906528361473,0.7701322315515953,5.0,1.0
206697,206695,2017-10-04 22:15:42+00:00,"Yes I know I can search by email, but is there a way to search by item? Would be a cool feature as we could surprise people with gifts.",On social media. Does that make sense?,42,0.13033204654088154,0.9291250794687714,11.0,1.0
206893,206897,2017-10-04 21:33:58+00:00,Out for delivery. It's said this since 11am😡,Not good enough.,115,0.40838141088561936,0.8753159116046848,1.0,1.0
206979,206985,2017-10-05 13:21:00+00:00,"Refund, can't source from anywhere else. Put up with it. Now if you pay for prime they could easily extend my prime or refund some £",Nope :-(,115,0.17013780696983216,0.6850369672182205,12.0,1.0
207573,207579,2017-11-15 19:33:56+00:00,Never thought of buying from @115850 will put me in such trouble @135833 plz help.@165092 @91790,Any update?? I am not getting any communication from your end.,-1,0.5279519062873328,0.7945012472931867,1.0,1.0
210415,210417,2017-10-05 06:10:37+00:00,But on the main page it has written that winner will be announced by 25 oct 2017.,Please provide me the link so i can check the result on 25 oct,-1,0.5270257160569014,0.8053268578973316,1.0,1.0
210463,210479,2017-10-05 06:49:01+00:00,But i think its your job to allow only those sellers who seals prodect at maximum discounts and speacily in #AmazonGreatIndianFestival 1/2,Sothat it reduces confusions for customers and fixed prices will be helpful for treating all the customers equally. 2/2,-1,0.5266536263181439,0.6917403814926589,1.0,1.0
210476,210479,2017-10-06 15:33:39+00:00,It will creat transparency in the market and reduce confusion.,Ok. But i would like to know how they react on this and there decisions regarding this issue. So how can you manage this?,-1,0.3608426436378472,0.5552593588457424,1.0,1.0
216056,216059,2017-11-23 13:50:04+00:00,"The one where I can see all my subscriptions and when they’ll be mailed. I can also modify the subscriptions and cancel them. Even on the product page, the price is cheaper than in the email I received.","In English it may be called something different. In French, it’s “gérer vos abonnements”.",-1,0.0679356381372721,0.6881401272943339,8.0,1.0
218031,218044,2017-10-05 19:45:19+00:00,#1) 11PM? What the hell is wrong with your delivery person? #2) My place of business was closed. #3) it's not here. Anywhere.,Where are the standards?,-1,0.13009636278953063,0.6485998325697735,2.0,1.0
218040,218044,2017-10-05 20:04:37+00:00,Look back at our history and tell me why I'm not wasting my time.,I'm talking about our social media interactions.,42,0.14926269969201497,0.3350077430654963,9.0,3.0
219484,219490,2017-10-05 02:52:25+00:00,"I did. Have to wait 24 hours for a response, no guarantee of getting the beta code in that time span. Any further help would be appreciated.",I do appreciate the swift response via tweet.,42,0.4379796482459307,0.5828401381173771,1.0,1.0
222680,222676,2017-10-05 05:31:55+00:00,You mean send an email?,Tweeting suits me best tbh ;),42,0.35564415137574007,0.6276645068826194,1.0,1.0
222829,222834,2017-10-05 03:43:46+00:00,Quise hacer una compra y me bloquearon mi cuenta. ¿Como puedo recuperarla?,Ya y nada,115,0.37597407384408227,0.8118112840928853,6.0,1.0
225050,225048,2017-10-05 06:56:11+00:00,"La même que sur le suivi en ligne : remis au transporteur. Chronopost, lui, dit le contraire. Et ça traine depuis lundi.","Oui, bien entendu.",125,0.5947691213196731,0.7891695472019875,1.0,1.0
226285,226298,2017-10-05 07:14:47+00:00,"No. I haven’t heard anything. No email, phone call or an app alert. It said yesterday it was due to arrive Friday and changed over night.",Nope. Doesn’t give any reasoning.,115,0.3023597625126557,0.6342161616774971,2.0,1.0
226402,226418,2017-09-23 05:14:31+00:00,10 days and *NO* calls from any Amazon representative.,"Hi! I just checked. THe last e-mail is dated 12th August. After that, it is only twitter communication. Nothing in tHe spam/junk folders.",42,0.4561792184357427,0.5657774319612989,2.0,3.0
227748,227752,2017-10-05 11:53:37+00:00,oui et apres quand j'ai annulée j'ai reçu deux mail d'annulation,c'est fait toujours pas de réponse depuis votre tweet,42,0.48311378249387904,0.7711530446358683,2.0,1.0
229766,229763,2017-10-05 09:07:53+00:00,Yesterday,No not yet,116,0.45682978905005,0.6998910929921833,3.0,2.0
230902,230897,2017-10-05 11:13:16+00:00,I have already shared all the product details from that link.,Ok. deleted that tweet,42,0.3673451286760123,0.46653227603392633,2.0,1.0
231713,231711,2017-10-07 11:56:02+00:00,Not working....,Thanks. This worked. Appreciate quick response.,-1,0.3727726057000962,0.8008840866255262,3.0,1.0
231835,231842,2017-10-05 12:05:35+00:00,"I'll definitely do that as clearly you failed to resolve my issue, i paid for a mobile handset and you are fraud, whoever did this is amazon","I've shared the details and received an email from social media expert 2-3 days back, but there is nothing post that",42,0.5002970042517503,0.7575391839407377,1.0,1.0
231908,231940,2017-10-05 10:39:30+00:00,"Ca fait 5 mois et 10 jours, je pense que j'ai suffisamment fait preuve de patience et qu'un traitement urgent est le minimum",et toujours rien...,115,0.5831290050095224,0.6226315168965953,2.0,1.0
231910,231940,2017-10-06 08:27:57+00:00,toujours pas de réponse. C'est vraiment du foutage de gueule,"non, rien",115,0.562990763122003,0.632500742773489,1.0,1.0
231912,231940,2017-10-06 08:41:31+00:00,"non, rien",et toujours rien !!!!!!!,115,0.5676787722460392,0.5723145013713269,1.0,1.0
232699,232693,2017-10-05 14:15:07+00:00,U guys are not telling me anything different but same thing which has been repeated n times. Useless @115850 @118919 @118702,"have, no success actually this conversation shows how bad and worthless you guys are. Can't access account on Twitter really..thts ur excuse",42,0.4838403067517685,0.6397465516418495,1.0,1.0
234745,234747,2017-10-05 16:23:37+00:00,Haven’t had it yet!,No nothing yet,117,0.5793431529862427,0.821843406031959,1.0,1.0
244111,235187,2017-10-06 09:27:25+00:00,Now amazon will not responding so i will meet in grahak suraksa office and i will complain of this issue good bye,I will wireal thi my issue in all social media ok,42,0.45927600225232756,0.7788699841468449,1.0,1.0
240149,240130,2017-10-11 10:26:51+00:00,"Please define the earliest? Give me a final deadline, I have been getting many.","Guys, still no news. @115850 @115821",-1,0.46166002660493616,0.46477548606090846,1.0,1.0
244158,244156,2017-10-05 18:32:08+00:00,Yeah. I was told Oct. 4 and the app has said “On the way” since yesterday morning,I haven’t! I couldn’t find the link. Thank you.,114,0.2269091774975091,0.9201311624225712,16.0,1.0
246397,246395,2017-10-05 16:10:34+00:00,Should have been today. 4/10/17,No there isn’t,115,0.14998578067697949,0.9032953438472818,10.0,1.0
255079,255077,2017-10-05 20:27:42+00:00,What’s the US version of that please? I’m in the US w/my US acct.,"Actually ignore my last tweet, it’s the same just .com.",42,0.29014026125390713,0.5244575458002321,3.0,1.0
382635,264723,2017-10-09 14:17:41+00:00,"don't make us fool,provided me a mail you did,","Who can help us?? please provide correct details, either issue is more spread in social media",42,0.331439831311484,0.5472606699030196,1.0,1.0
269794,269792,2017-10-06 01:47:05+00:00,I raised a concern about refusal of delivery by Aramex courier at door steps your executives kept on dilling dolling for finding no solution,yes very much,125,0.015481875612155471,0.9873807271108352,20.0,1.0
272667,272657,2017-10-06 05:16:49+00:00,What will you do as order is canceled? Even cloudtail is using Gati courier. It will crash your business as well in no time. Wait n watch,"If you are not able to even check the details, why you are here at twitter? Only for Tweeting?",42,0.09782164826511922,0.675647828237054,17.0,1.0
273158,273156,2017-10-06 04:31:29+00:00,"Amazon, era para el lunes 2 de Octubre.",2 marcan que el 4 Octubre están en la aduana México y otro marca desde el 13 de Septiembre que está en Rodgua... 😔,-1,0.588186726092296,0.8028104423854382,1.0,1.0
276116,276119,2017-10-06 07:36:27+00:00,No I dont have time sorry,Situation is not resolved so I'm entitled to tweet that your service sucks.,42,0.30449435701198185,0.4992698371642697,9.0,2.0
277237,277241,2017-10-14 13:02:22+00:00,"That it is being referred to a ""specialist team"" who will be in touch ""within 24 hours"". It's now been six days...",No I haven't,114,0.28059633875179013,0.637889579769708,6.0,1.0
277243,277247,2017-10-14 14:17:43+00:00,@AmazonHelp are there any contests these 3 days so that i could get a brand new iphone 8,@AmazonHelp Thank u.....can i put my hopes alive for any contest on iphone’s in coming week,-1,0.5087396203604753,0.42221253283915605,2.0,2.0
277826,277818,2017-10-06 08:41:18+00:00,"One was the day before yesterday, one was yesterday and the last one is today.",Absolutely nothing👍,115,0.2375311840362451,0.5668878053438386,5.0,1.0
279410,279455,2017-10-11 13:05:39+00:00,"More than 50 email I have sent, better you refund my money. I don't need this account,I just want my money",No one does tht,115,0.15973764381267358,0.7270916866884237,4.0,1.0
279675,279673,2017-10-06 10:39:23+00:00,You completely messed up an order which has now caused me significant issues. Speaking to support via chat was a complete waste of time.,I really can't be bothered to go in to it all again plus Twitter is limited to 140 so not enough space. Feel free to call me if you like.,42,0.4298666306762934,0.7696454505170398,1.0,1.0
279885,279900,2017-10-10 07:56:40+00:00,But my issue is still not solved yet seller is blackmailing me to remove feedback and i dont wanna do so,"Sir , still my issue is not resolved everytime i tweet i get a link but after that there is no solution for my problem @1840 @115851",42,0.44790089959272716,0.7225765889560125,3.0,1.0
279937,279940,2017-10-06 10:05:33+00:00,Qu’il savait pas quoi me répondre.,Je ne pense pas.,115,0.5641999872106143,0.7707102039350686,1.0,1.0
280342,280343,2017-10-06 10:07:41+00:00,No response,21 aug my first tweet. Today is 6 oct. My missing inventory eaten up at which level ?? Should I forget about it ???,42,0.4265703318382804,0.4712744465179199,1.0,1.0
383260,280388,2017-10-10 04:44:37+00:00,Have replied. Pls look into it. The matter reaches different hands to no solution.,Just a link to my 1st tweet. 21 aug and we are at 10th oct today.,42,0.4803076050629824,0.6460848011691178,1.0,1.0
383269,280388,2017-10-11 05:28:24+00:00,My next project dated 18th will get cancelled too. Need a quick followup pls. 4 mnths 4 projects lost. Cannot afford more. REQ,Simlar tweet from u on 30th aug.,42,0.43579974045213843,0.5563803608069366,1.0,1.0
383291,280388,2017-10-29 09:26:56+00:00,Pls see that a decision is reached soon,Basically tweeting is pointless ?,42,0.2534451422808144,0.6238877406501899,3.0,1.0
438814,282739,2017-10-18 09:09:43+00:00,"I have already had enough harassment from you. Please confirm, did you cancel this order immediately or not. That will answer my query.",One more SMS https://t.co/irk5Hx7xS3,-1,0.3294649255258848,0.6887566701984029,8.0,1.0
